Symbol,last_close,med_dollar,active_days,sessions,first,peak,crush,age_years
A,148.44,254794497.54016155,32,32,2016-01-04,179.28,1.207760711398545,10.620123203285422
AA,50.02,242141541.1460407,32,32,2016-01-04,95.06,1.9004398240703717,10.620123203285422
AAAU,42.85,44691321.252084225,32,32,2018-08-15,53.21,1.2417736289381562,8.008213552361397
AAL,14.05,1201214178.7310615,32,32,2016-01-04,58.47,4.161565836298932,10.620123203285422
AAOI,131.41,1092932656.2388334,32,32,2016-01-04,223.1,1.6977398980290692,10.620123203285422
AAON,82.06,97493657.45620477,32,32,2016-01-04,148.25,1.806604923226907,10.620123203285422
AAP,56.96,85121081.36163759,32,32,2016-01-04,241.91,4.247015449438202,10.620123203285422
AAPL,310.03,14734615032.959517,32,32,2016-01-04,340.08,1.0969261039254266,10.620123203285422
AAT,22.6,8926148.88119021,32,32,2016-01-04,48.96,2.1663716814159293,10.620123203285422
AAXJ,113.55,49881645.38143018,32,32,2016-01-04,124.21,1.0938793483047116,10.620123203285422
AB,36.18,8810571.358940225,32,32,2016-01-04,56.86,1.5715865118850194,10.620123203285422
ABBV,258.92,1271594866.9710326,32,32,2016-01-04,263.3,1.0169164220608682,10.620123203285422
ABCB,88.2,30824864.624129783,32,32,2016-01-04,93.17,1.0563492063492064,10.620123203285422
ABCL,11.12,35125224.43136192,32,32,2020-12-11,58.9,5.296762589928058,5.683778234086242
ABEO,6.16,8842812.177954096,32,32,2016-01-04,536.25,87.05357142857143,10.620123203285422
ABEQ,38.725,344035.192249875,32,32,2020-01-22,40.06,1.034473854099419,6.570841889117043
ABG,203.94,51498184.799177445,32,32,2016-01-04,305.86,1.4997548298519172,10.620123203285422
ABM,47.1,18461144.55608236,32,32,2016-01-04,58.61,1.2443736730360935,10.620123203285422
ABNB,183.25,524040723.5952443,32,32,2020-12-10,216.84,1.1833015006821284,5.686516084873374
ABT,112.68,1009606000.3851186,32,32,2016-01-04,141.46,1.2554135605253816,10.620123203285422
ACA,145.35,87125942.06569797,32,32,2018-11-01,145.4,1.0003439972480221,7.794661190965092
ACAD,30.18,38713689.47285626,32,32,2016-01-04,57.0,1.8886679920477136,10.620123203285422
ACEL,11.94,3360639.6042630104,32,32,2019-11-21,14.55,1.2185929648241207,6.740588637919234
ACES,31.07,1902181.00904896,32,32,2018-06-29,100.32,3.228838107499195,8.136892539356605
ACET,9.11,730006.45047933,32,32,2016-01-04,411.36,45.15477497255763,10.620123203285422
ACGL,98.91,170709703.9201848,32,32,2016-01-04,114.86,1.1612577090284097,10.620123203285422
ACGLN,16.1545,587077.8251779999,32,32,2021-06-14,26.65,1.6496951313875392,5.177275838466803
ACGLO,19.2364,485338.94395375,32,32,2017-08-21,26.94,1.400469942400865,8.991101984941821
ACHC,27.46,79191302.68775338,32,32,2016-01-04,89.06,3.24326292789512,10.620123203285422
ACI,12.21,87400742.42657417,32,32,2016-01-04,36.81,3.0147420147420148,10.620123203285422
ACIO,47.07,6243009.66634916,32,32,2019-07-10,47.61,1.011472275334608,7.107460643394935
ACIW,52.17,54291338.83340411,32,32,2016-01-04,60.18,1.1535365152386428,10.620123203285422
ACLS,135.39,52118025.37007521,32,32,2016-01-04,200.48,1.4807592879828644,10.620123203285422
ACM,61.72,97525738.64558676,32,32,2016-01-04,134.35,2.1767660401814646,10.620123203285422
ACMR,84.37,83134846.42327288,32,32,2017-11-03,126.89,1.5039706056655209,8.788501026694044
ACN,172.93,1007512055.6296558,32,32,2016-01-04,415.42,2.40224368241485,10.620123203285422
ACNB,64.19,3486691.77854759,32,32,2016-01-04,65.43,1.019317650724412,10.620123203285422
ACP,5.2,2186111.3318815203,32,32,2016-01-04,14.93,2.871153846153846,10.620123203285422
ACR,14.84,338556.69454010006,32,32,2021-02-17,24.04,1.6199460916442048,5.49760438056126
ACRS,6.305,7743018.808620406,32,32,2016-01-04,32.99,5.232355273592388,10.620123203285422
ACU,62.83,1133198.7930136002,32,32,2016-01-04,62.83,1.0,10.620123203285422
ACV,26.95,719155.47341228,32,32,2016-01-04,37.25,1.3821892393320965,10.620123203285422
ACVA,7.63,23710396.353158843,32,32,2021-03-24,37.04,4.854521625163827,5.401779603011636
ACVF,55.8772,209183.25057141,32,32,2020-10-29,56.7905,1.0163447703177682,5.801505817932923
ACWI,160.08,363744775.6348761,32,32,2016-01-04,162.48,1.0149925037481258,10.620123203285422
ACWV,126.03,9796063.473893402,32,32,2016-01-04,126.77,1.0058716178687614,10.620123203285422
ACWX,76.77,98954469.20210865,32,32,2016-01-04,78.1,1.0173244757066562,10.620123203285422
ADBE,263.14,1123138205.561389,32,32,2016-01-04,688.37,2.6159838869043095,10.620123203285422
ADC,74.21,82238988.03061998,32,32,2016-01-04,81.92,1.1038943538606658,10.620123203285422
ADI,376.63,1316711415.5905292,32,32,2016-01-04,445.48,1.1828054058359665,10.620123203285422
ADM,82.45,282507351.5604806,32,32,2016-01-04,98.22,1.1912674348089751,10.620123203285422
ADME,56.45,467086.13789270003,32,32,2019-11-08,57.219,1.0136226749335695,6.776180698151951
ADNT,19.48,17187736.35846376,32,32,2016-10-31,85.93,4.411190965092403,9.796030116358658
ADP,269.31,565890364.0247507,32,32,2016-01-04,326.81,1.2135085960417362,10.620123203285422
ADPT,24.56,58796900.51346831,32,32,2016-01-04,72.35,2.945846905537459,10.620123203285422
ADSK,246.79,422905057.7382246,32,32,2016-01-04,342.27,1.38688763726245,10.620123203285422
