Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,117.99,118.92,117.51,117.75,117.75,9616899
2024-01-03,119.10,119.88,118.69,118.91,118.91,7797952
2024-01-04,118.96,121.13,118.34,119.59,119.59,7707735
2024-01-05,119.84,120.15,119.41,119.67,119.67,9030813
2024-01-08,120.38,121.38,119.68,120.75,120.75,9330123
2024-01-09,120.90,121.82,119.61,120.54,120.54,9303857
2024-01-10,117.04,117.61,116.75,117.22,117.22,8963926
2024-01-11,117.88,119.77,117.49,118.32,118.32,9314075
2024-01-12,120.75,121.49,119.39,119.68,119.68,6752649
2024-01-15,118.96,119.18,117.70,118.29,118.29,10406883
2024-01-16,118.64,119.99,117.55,118.62,118.62,8474378
2024-01-17,120.19,121.67,119.72,120.93,120.93,9149240
2024-01-18,121.76,122.19,120.89,121.42,121.42,7556927
2024-01-19,120.30,122.12,119.86,120.55,120.55,4645231
2024-01-22,120.43,121.52,119.88,120.08,120.08,8483855
2024-01-23,121.42,121.59,120.47,121.25,121.25,11575161
2024-01-24,118.67,119.09,117.48,118.65,118.65,6319756
2024-01-25,118.02,118.87,117.22,118.57,118.57,8229928
2024-01-26,119.72,120.62,119.22,120.00,120.00,6195680
2024-01-29,119.50,120.68,118.99,119.03,119.03,8342966
2024-01-30,118.14,119.76,117.97,118.63,118.63,7204918
2024-01-31,116.66,118.16,116.47,117.49,117.49,6076652
2024-02-01,118.19,119.48,117.40,119.30,119.30,8339419
2024-02-02,121.31,122.01,120.56,121.28,121.28,10006719
2024-02-05,121.14,122.49,120.32,121.73,121.73,10402244
2024-02-06,123.47,124.34,121.56,122.85,122.85,7092244
2024-02-07,121.85,122.09,121.69,121.85,121.85,4382413
2024-02-08,123.48,124.06,123.23,123.72,123.72,8058338
2024-02-09,125.83,127.12,124.66,125.92,125.92,8309517
2024-02-12,124.93,124.98,124.23,124.48,124.48,9414296
2024-02-13,121.51,122.03,121.08,121.96,121.96,9064229
2024-02-14,120.24,121.14,119.32,119.94,119.94,5492062
2024-02-15,118.66,119.10,118.60,119.07,119.07,8907749
2024-02-16,117.41,117.55,116.51,117.44,117.44,11056677
2024-02-19,119.35,119.74,117.40,119.40,119.40,8542221
2024-02-20,118.37,118.77,117.09,118.74,118.74,8796673
2024-02-21,117.28,117.44,116.46,117.34,117.34,4529480
2024-02-22,116.75,117.37,116.49,116.67,116.67,9139072
2024-02-23,116.76,117.41,115.15,116.56,116.56,9564026
2024-02-26,114.63,114.63,113.36,113.39,113.39,5999456
2024-02-27,114.53,114.82,113.81,114.02,114.02,6258794
2024-02-28,112.66,112.96,112.05,112.42,112.42,8902432
2024-02-29,113.76,114.24,112.95,113.26,113.26,9336509
2024-03-01,111.82,112.09,111.46,111.63,111.63,6817769
2024-03-04,110.98,111.53,110.40,111.10,111.10,5530763
2024-03-05,113.67,114.25,112.60,113.62,113.62,9260175
2024-03-06,114.58,115.03,113.36,114.33,114.33,7424186
2024-03-07,117.13,117.63,115.68,116.60,116.60,9833157
2024-03-08,117.30,117.54,114.91,116.20,116.20,7176195
2024-03-11,117.91,118.61,117.72,118.46,118.46,10740376
2024-03-12,118.64,120.30,118.47,118.79,118.79,8014311
2024-03-13,119.62,121.47,118.82,119.89,119.89,5502853
2024-03-14,118.67,119.45,116.44,118.04,118.04,9867666
2024-03-15,116.45,117.88,115.45,116.95,116.95,6655881
2024-03-18,117.38,117.94,116.48,117.22,117.22,6702383
2024-03-19,115.89,116.72,114.49,116.37,116.37,11025220
2024-03-20,117.72,117.76,117.00,117.68,117.68,9214703
2024-03-21,114.80,114.93,114.02,114.74,114.74,7880954
2024-03-22,114.92,115.38,113.46,115.17,115.17,4939856
2024-03-25,115.66,117.41,115.42,116.45,116.45,7532099
2024-03-26,116.78,118.28,116.02,116.98,116.98,7117643
2024-03-27,115.59,116.87,114.90,116.10,116.10,2984955
2024-03-28,115.94,117.83,115.94,116.93,116.93,7187795
2024-03-29,116.78,116.88,115.01,116.22,116.22,6855076
2024-04-01,114.04,114.58,113.64,114.16,114.16,4333494
2024-04-02,112.44,113.87,110.37,111.80,111.80,7346362
2024-04-03,110.33,112.18,109.63,111.04,111.04,6492025
2024-04-04,114.64,115.07,114.11,114.81,114.81,5438896
2024-04-05,111.34,112.22,110.47,111.23,111.23,8703877
2024-04-08,111.53,112.42,111.49,111.83,111.83,7624385
