Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,146.38,147.38,146.37,147.31,147.31,7575419
2024-01-03,147.99,148.91,147.89,147.94,147.94,6127886
2024-01-04,149.33,150.45,148.92,149.73,149.73,5342911
2024-01-05,148.88,149.98,147.78,148.84,148.84,5223071
2024-01-08,149.71,150.47,149.05,149.53,149.53,7827666
2024-01-09,149.71,149.79,148.99,149.23,149.23,5223353
2024-01-10,149.18,149.94,148.38,149.52,149.52,8456068
2024-01-11,148.98,150.44,148.93,149.25,149.25,7492356
2024-01-12,148.98,150.34,148.45,150.04,150.04,7102229
2024-01-15,148.40,150.57,148.32,148.55,148.55,5735269
2024-01-16,146.01,147.66,145.87,146.81,146.81,10336287
2024-01-17,146.67,146.91,145.84,146.46,146.46,9755173
2024-01-18,145.32,146.05,144.30,145.19,145.19,4797066
2024-01-19,144.81,144.98,143.70,144.64,144.64,9841566
2024-01-22,145.73,146.79,145.10,146.32,146.32,7300228
2024-01-23,148.99,149.51,148.31,148.78,148.78,8955758
2024-01-24,148.81,149.03,148.41,148.73,148.73,7619149
2024-01-25,146.08,146.65,145.10,146.27,146.27,9548008
2024-01-26,144.33,145.45,143.69,144.60,144.60,7469186
2024-01-29,143.84,144.09,141.92,143.37,143.37,7036645
2024-01-30,142.41,143.41,140.96,141.66,141.66,6627296
2024-01-31,142.57,143.16,141.59,141.99,141.99,5835341
2024-02-01,142.94,143.66,141.07,142.29,142.29,8111320
2024-02-02,141.54,141.70,140.30,141.55,141.55,9530094
2024-02-05,139.22,139.88,138.50,138.91,138.91,7526046
2024-02-06,140.91,141.26,140.68,141.00,141.00,9398203
2024-02-07,142.56,143.44,140.77,141.78,141.78,9783162
2024-02-08,141.62,141.93,140.62,141.63,141.63,7271171
2024-02-09,141.22,142.03,140.20,141.14,141.14,6208332
2024-02-12,142.41,143.15,141.65,141.73,141.73,9386314
2024-02-13,139.09,139.62,138.81,139.06,139.06,9203917
2024-02-14,139.56,140.90,138.34,139.19,139.19,10056576
2024-02-15,138.80,139.23,138.63,139.15,139.15,6318996
2024-02-16,138.00,138.35,136.70,137.76,137.76,9425939
2024-02-19,138.60,139.60,138.08,138.95,138.95,8414090
2024-02-20,139.59,140.18,139.34,139.41,139.41,5198544
2024-02-21,140.12,141.35,138.52,140.71,140.71,7164335
2024-02-22,141.74,142.09,141.49,142.03,142.03,9139611
2024-02-23,144.53,144.99,143.41,143.57,143.57,10560962
2024-02-26,142.89,143.31,142.26,142.37,142.37,5203326
2024-02-27,143.03,143.05,142.06,142.49,142.49,4803059
2024-02-28,144.02,144.42,142.81,143.21,143.21,10755914
2024-02-29,144.17,144.50,143.63,143.99,143.99,7640865
