Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,61122.10,62931.37,60941.51,61725.33,61725.33,80843
2024-01-03,59776.42,60012.12,59132.41,59761.67,59761.67,62139
2024-01-04,61699.89,62238.50,61328.88,61467.31,61467.31,74015
2024-01-05,64186.43,64510.02,63862.04,64002.59,64002.59,89341
2024-01-06,64531.59,64717.82,63288.30,64522.47,64522.47,78607
2024-01-07,65065.10,66053.90,64870.32,65371.60,65371.60,74019
2024-01-08,67438.97,68290.67,64964.99,66765.73,66765.73,66838
2024-01-09,70667.28,71224.23,69101.74,70126.99,70126.99,62552
2024-01-10,70872.58,71411.35,69354.84,69987.16,69987.16,69336
2024-01-11,68929.22,70268.36,68140.17,69620.43,69620.43,55783
2024-01-12,69960.06,70227.47,69140.71,69528.75,69528.75,93976
2024-01-13,71404.39,72774.59,70735.72,71557.74,71557.74,61209
2024-01-14,70191.40,71593.79,69070.32,71074.67,71074.67,82516
2024-01-15,74003.31,75174.92,73278.78,73741.26,73741.26,84039
2024-01-16,73268.96,74812.44,72441.17,73841.66,73841.66,91794
2024-01-17,75926.37,76770.97,74381.73,76360.50,76360.50,40412
2024-01-18,77270.18,77782.40,76898.16,76923.91,76923.91,54982
2024-01-19,77903.78,78818.78,77619.67,78124.52,78124.52,82582
2024-01-20,79522.46,81341.38,76997.65,78095.14,78095.14,61382
2024-01-21,76363.15,77281.78,75443.28,77111.93,77111.93,85668
2024-01-22,79392.57,81373.82,79235.94,80079.69,80079.69,62220
2024-01-23,78627.91,80317.24,78140.27,78941.48,78941.48,66489
2024-01-24,82678.74,82876.40,81943.85,82266.11,82266.11,67048
2024-01-25,83321.30,83662.26,82286.65,82373.52,82373.52,89826
2024-01-26,81865.88,82855.93,80670.58,81639.45,81639.45,98278
2024-01-27,83739.31,84611.56,82283.88,83380.50,83380.50,90584
2024-01-28,82699.49,83359.86,82194.41,83287.85,83287.85,106620
2024-01-29,82905.83,83449.58,81526.18,82143.34,82143.34,95197
2024-01-30,82321.62,83152.21,80439.63,81826.23,81826.23,84172
2024-01-31,83590.36,84144.13,82933.62,82987.81,82987.81,80361
2024-02-01,82489.64,84959.81,81372.29,84608.28,84608.28,79484
2024-02-02,87497.93,88320.54,87256.54,87455.89,87455.89,89218
2024-02-03,90781.99,91943.84,90255.66,90825.69,90825.69,94474
2024-02-04,92116.48,92632.24,91296.99,91702.29,91702.29,100134
2024-02-05,88831.10,89549.31,88160.27,89118.16,89118.16,58465
2024-02-06,86600.69,87525.87,85900.15,86233.67,86233.67,48381
2024-02-07,84040.06,85895.58,83370.54,84735.16,84735.16,117395
2024-02-08,84757.73,85065.36,83262.11,84839.77,84839.77,67735
2024-02-09,85057.69,85833.95,84462.76,85361.97,85361.97,42008
2024-02-10,81822.39,82628.40,81058.75,82228.90,82228.90,67666
2024-02-11,81821.44,82315.42,81594.36,81635.38,81635.38,65475
2024-02-12,81829.05,82327.19,79732.89,80442.75,80442.75,106527
2024-02-13,80095.44,80663.88,79801.28,80166.93,80166.93,71134
2024-02-14,79421.18,80930.87,78549.90,79708.66,79708.66,82266
2024-02-15,79076.06,79195.31,78603.09,79121.15,79121.15,75992
2024-02-16,78019.05,79368.64,77283.56,77918.50,77918.50,87606
2024-02-17,77272.68,77857.50,76870.09,77056.17,77056.17,112215
2024-02-18,79158.04,79180.40,78356.89,79010.12,79010.12,73672
2024-02-19,81424.22,81570.50,80575.00,81385.21,81385.21,80666
2024-02-20,82269.65,83254.10,81547.60,81798.66,81798.66,75319
2024-02-21,85095.96,85709.52,84161.83,84269.88,84269.88,105980
2024-02-22,85856.62,86770.77,84279.97,85808.68,85808.68,64432
