Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,3200.08,3201.96,3134.62,3180.13,3180.13,96163
2024-01-03,3104.00,3156.13,3083.07,3143.28,3143.28,59536
2024-01-04,3104.98,3142.81,3084.36,3135.63,3135.63,91258
2024-01-05,3213.57,3230.92,3194.29,3197.87,3197.87,76480
2024-01-06,3146.80,3176.54,3142.73,3163.53,3163.53,61319
2024-01-07,3157.91,3177.31,3106.98,3158.94,3158.94,89606
2024-01-08,3118.01,3145.40,3083.92,3124.26,3124.26,50457
2024-01-09,3197.81,3285.17,3173.58,3177.64,3177.64,71832
2024-01-10,3068.18,3101.05,3025.61,3092.01,3092.01,89061
2024-01-11,3146.06,3169.84,3141.79,3166.57,3166.57,76110
2024-01-12,3096.33,3117.83,3009.05,3072.66,3072.66,86140
2024-01-13,3037.18,3085.97,3002.17,3008.56,3008.56,64443
2024-01-14,2934.55,2997.74,2930.96,2970.80,2970.80,81232
2024-01-15,2953.36,2969.58,2921.38,2930.96,2930.96,49458
2024-01-16,2939.12,2977.13,2890.61,2899.42,2899.42,79723
2024-01-17,2904.19,2908.36,2886.74,2893.75,2893.75,48129
2024-01-18,2882.23,2898.77,2852.51,2870.66,2870.66,97606
2024-01-19,2983.40,3042.42,2976.11,2985.47,2985.47,68405
2024-01-20,3149.14,3189.86,3090.13,3101.31,3101.31,85758
2024-01-21,3033.25,3061.93,2963.72,2980.69,2980.69,103857
2024-01-22,2988.21,3024.27,2955.98,2978.12,2978.12,92899
2024-01-23,2887.99,2937.01,2883.82,2907.19,2907.19,88342
2024-01-24,2828.18,2884.82,2818.09,2827.31,2827.31,87644
2024-01-25,2735.39,2772.57,2678.97,2697.97,2697.97,86446
2024-01-26,2739.43,2835.37,2721.40,2764.50,2764.50,94816
2024-01-27,2683.10,2740.95,2640.37,2691.71,2691.71,55809
2024-01-28,2593.93,2602.65,2567.55,2585.17,2585.17,79863
2024-01-29,2612.73,2637.90,2552.10,2625.79,2625.79,75808
2024-01-30,2645.61,2657.21,2631.15,2651.23,2651.23,82428
2024-01-31,2619.51,2631.19,2580.97,2624.30,2624.30,82922
2024-02-01,2550.51,2571.65,2549.99,2560.64,2560.64,102744
2024-02-02,2555.16,2569.59,2524.59,2556.97,2556.97,89729
2024-02-03,2469.35,2499.57,2417.52,2460.70,2460.70,80355
2024-02-04,2343.75,2380.77,2329.93,2370.53,2370.53,83036
2024-02-05,2331.56,2338.47,2268.17,2322.24,2322.24,91631
2024-02-06,2357.85,2376.90,2355.06,2362.46,2362.46,44805
2024-02-07,2363.54,2378.75,2339.90,2355.95,2355.95,116023
2024-02-08,2489.24,2518.66,2442.24,2446.75,2446.75,77366
2024-02-09,2460.32,2507.19,2409.71,2443.85,2443.85,62333
2024-02-10,2361.48,2423.94,2327.49,2421.30,2421.30,60536
2024-02-11,2384.76,2402.62,2337.05,2361.29,2361.29,72919
2024-02-12,2300.39,2341.63,2264.32,2302.05,2302.05,74136
2024-02-13,2392.99,2435.56,2336.55,2350.24,2350.24,89019
2024-02-14,2439.67,2451.35,2397.37,2450.60,2450.60,82617
2024-02-15,2335.35,2362.67,2275.00,2361.00,2361.00,79891
2024-02-16,2321.29,2384.16,2296.13,2344.60,2344.60,65005
2024-02-17,2356.96,2401.05,2344.06,2370.85,2370.85,55330
2024-02-18,2358.95,2416.95,2352.95,2364.75,2364.75,73873
2024-02-19,2414.27,2432.21,2363.83,2406.21,2406.21,91760
2024-02-20,2515.85,2523.68,2481.30,2487.15,2487.15,78402
2024-02-21,2543.41,2616.63,2511.15,2570.18,2570.18,74326
2024-02-22,2603.45,2656.02,2569.01,2622.26,2622.26,94453
2024-02-23,2740.96,2763.67,2704.50,2732.06,2732.06,98283
2024-02-24,2848.85,2861.59,2833.17,2845.74,2845.74,106341
2024-02-25,2914.33,2950.05,2864.93,2912.99,2912.99,101123
2024-02-26,3066.92,3094.05,3027.17,3056.16,3056.16,80831
2024-02-27,3066.92,3073.34,2975.84,3034.28,3034.28,74527
2024-02-28,3067.99,3168.12,3032.02,3053.80,3053.80,76746
2024-02-29,3025.19,3042.35,2987.73,3039.72,3039.72,76450
2024-03-01,2906.29,2955.87,2892.82,2926.89,2926.89,66883
2024-03-02,2865.43,2884.19,2839.37,2845.85,2845.85,58069
2024-03-03,2837.65,2853.34,2815.64,2819.03,2819.03,87761
2024-03-04,2869.65,2882.56,2854.63,2856.65,2856.65,73598
2024-03-05,2896.76,2946.49,2869.98,2911.52,2911.52,119679
2024-03-06,2887.50,2915.43,2870.90,2903.75,2903.75,78079
2024-03-07,2814.91,2870.10,2796.15,2844.52,2844.52,94941
2024-03-08,2778.76,2808.87,2727.14,2788.19,2788.19,81202
2024-03-09,2712.13,2756.74,2661.51,2693.77,2693.77,85674
2024-03-10,2780.82,2864.11,2779.36,2789.63,2789.63,90768
2024-03-11,2767.51,2797.35,2758.68,2786.19,2786.19,79475
2024-03-12,2846.44,2878.67,2780.50,2800.42,2800.42,78169
2024-03-13,2784.19,2815.01,2687.55,2731.51,2731.51,100620
2024-03-14,2757.79,2796.03,2697.70,2742.05,2742.05,84505
2024-03-15,2716.03,2737.25,2708.04,2721.39,2721.39,16053
2024-03-16,2767.43,2832.21,2757.80,2781.16,2781.16,50997
2024-03-17,2680.37,2729.57,2666.35,2718.95,2718.95,83510
2024-03-18,2788.37,2815.03,2733.66,2812.78,2812.78,76762
2024-03-19,2809.54,2846.72,2768.84,2836.70,2836.70,86623
2024-03-20,2848.49,2892.26,2808.10,2843.29,2843.29,93918
2024-03-21,2876.66,2908.13,2858.97,2892.09,2892.09,83113
2024-03-22,2850.16,2875.16,2837.66,2870.19,2870.19,108032
2024-03-23,2736.25,2762.91,2720.25,2725.77,2725.77,45883
2024-03-24,2769.15,2799.81,2702.67,2776.35,2776.35,72150
2024-03-25,2709.77,2729.26,2639.13,2693.91,2693.91,69788
2024-03-26,2525.93,2556.55,2472.29,2528.84,2528.84,111161
2024-03-27,2556.92,2565.69,2504.02,2533.14,2533.14,72458
2024-03-28,2471.36,2475.22,2402.93,2462.99,2462.99,115934
2024-03-29,2500.08,2524.09,2489.99,2513.31,2513.31,55491
2024-03-30,2591.46,2661.95,2551.53,2568.54,2568.54,83471
2024-03-31,2682.71,2702.41,2621.92,2674.57,2674.57,68760
2024-04-01,2653.92,2654.81,2585.47,2654.57,2654.57,75785
2024-04-02,2550.24,2661.50,2542.65,2597.04,2597.04,90019
2024-04-03,2654.14,2667.44,2649.07,2650.18,2650.18,114392
2024-04-04,2658.50,2694.65,2649.84,2655.95,2655.95,84990
2024-04-05,2663.61,2664.71,2602.43,2636.17,2636.17,80497
2024-04-06,2764.89,2796.01,2723.25,2736.24,2736.24,69914
2024-04-07,2729.95,2740.21,2691.31,2717.11,2717.11,49664
2024-04-08,2718.27,2730.30,2634.63,2682.91,2682.91,89678
2024-04-09,2688.84,2694.17,2605.14,2654.01,2654.01,67021
2024-04-10,2601.03,2652.82,2569.36,2581.22,2581.22,88329
2024-04-11,2578.47,2583.21,2567.71,2571.86,2571.86,61509
2024-04-12,2578.48,2580.73,2523.26,2540.58,2540.58,101217
2024-04-13,2567.60,2583.06,2491.30,2546.86,2546.86,69947
2024-04-14,2488.51,2530.53,2444.45,2487.44,2487.44,90853
2024-04-15,2414.14,2431.23,2370.90,2430.19,2430.19,120393
2024-04-16,2377.73,2422.26,2374.19,2405.00,2405.00,71608
2024-04-17,2321.87,2382.97,2321.86,2339.42,2339.42,102791
2024-04-18,2269.68,2302.49,2225.54,2284.53,2284.53,81659
2024-04-19,2293.70,2312.66,2288.84,2303.01,2303.01,73831
2024-04-20,2145.64,2200.00,2115.74,2140.72,2140.72,80691
2024-04-21,2139.38,2198.81,2117.72,2143.49,2143.49,45007
2024-04-22,2140.27,2149.62,2105.69,2121.05,2121.05,88430
2024-04-23,2148.14,2159.57,2104.97,2128.19,2128.19,87692
2024-04-24,2168.76,2180.65,2136.81,2176.22,2176.22,60355
2024-04-25,2128.72,2139.79,2090.77,2132.23,2132.23,69259
2024-04-26,2073.72,2116.59,2051.72,2089.54,2089.54,72353
2024-04-27,2042.63,2093.00,2016.99,2030.49,2030.49,82853
2024-04-28,2013.34,2047.20,1970.40,2034.41,2034.41,73343
2024-04-29,2034.98,2041.05,2013.59,2040.67,2040.67,83924
2024-04-30,2102.10,2125.13,2065.30,2106.52,2106.52,67307
