Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,14258.11,14364.15,14050.28,14163.16,14163.16,9043845
2024-01-03,14237.52,14279.94,14198.98,14200.22,14200.22,6178573
2024-01-04,14292.82,14494.16,14141.55,14350.61,14350.61,6257436
2024-01-05,14603.87,14659.80,14496.82,14654.24,14654.24,7612500
2024-01-08,14653.60,14666.33,14485.58,14649.08,14649.08,6923975
2024-01-09,14295.58,14381.30,14212.95,14338.70,14338.70,12477031
2024-01-10,14240.91,14421.60,14158.84,14311.95,14311.95,10830133
2024-01-11,14104.27,14203.88,14049.73,14147.05,14147.05,8033349
2024-01-12,14295.66,14405.50,14184.64,14228.23,14228.23,6723862
2024-01-15,14331.39,14435.02,14188.98,14301.81,14301.81,7670718
2024-01-16,14297.54,14298.43,14182.20,14218.29,14218.29,11291523
2024-01-17,14283.22,14298.04,14094.49,14182.21,14182.21,9257238
2024-01-18,14257.61,14406.90,14090.70,14178.38,14178.38,7999487
2024-01-19,14129.13,14247.15,13992.85,14157.07,14157.07,8640288
2024-01-22,13978.11,14140.54,13890.75,14010.00,14010.00,7748614
2024-01-23,14139.97,14278.12,14052.29,14262.43,14262.43,9279895
2024-01-24,14491.88,14538.82,14382.15,14477.19,14477.19,11003183
2024-01-25,14505.38,14526.91,14406.68,14429.00,14429.00,11138113
2024-01-26,14418.00,14504.37,14389.23,14411.18,14411.18,6194061
2024-01-29,14082.60,14259.27,14074.29,14203.03,14203.03,5491144
2024-01-30,14150.98,14216.75,14058.97,14174.73,14174.73,5052451
2024-01-31,14115.51,14139.40,14063.51,14067.02,14067.02,7791486
2024-02-01,14305.77,14339.24,14286.72,14319.87,14319.87,7810084
2024-02-02,14223.18,14323.77,14136.95,14191.05,14191.05,12725603
2024-02-05,13967.15,14029.64,13884.29,13989.92,13989.92,8112030
2024-02-06,13946.22,14106.43,13886.56,13964.41,13964.41,9989675
2024-02-07,14113.80,14157.40,13948.22,14089.02,14089.02,10171077
2024-02-08,14155.42,14183.06,14097.48,14118.60,14118.60,6633050
2024-02-09,14229.98,14296.64,14136.19,14200.68,14200.68,10585273
2024-02-12,14293.97,14309.18,14121.96,14306.29,14306.29,9740957
2024-02-13,14134.01,14239.00,14121.56,14199.57,14199.57,8892178
2024-02-14,14226.15,14296.45,14085.63,14182.48,14182.48,7090896
2024-02-15,13878.33,13933.62,13786.16,13813.70,13813.70,11093638
2024-02-16,14059.64,14092.07,13951.37,13968.49,13968.49,9007371
2024-02-19,13719.38,13736.34,13666.55,13715.22,13715.22,8270532
2024-02-20,13716.98,13750.07,13624.83,13660.66,13660.66,10916820
2024-02-21,13620.93,13781.43,13549.75,13692.30,13692.30,9515282
2024-02-22,13836.97,13930.15,13802.64,13874.89,13874.89,4917552
2024-02-23,13968.42,14122.14,13930.48,13988.69,13988.69,7068418
2024-02-26,14003.10,14075.17,13903.76,14007.32,14007.32,6583718
