Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,387.90,391.84,384.81,385.35,385.35,8713988
2024-01-03,390.41,390.55,386.87,389.71,389.71,8211974
2024-01-04,377.32,380.85,375.36,379.13,379.13,4890433
2024-01-05,384.46,389.92,381.90,382.28,382.28,5235689
2024-01-08,379.71,383.38,379.14,381.96,381.96,10672113
2024-01-09,389.28,390.90,385.78,386.93,386.93,8385230
2024-01-10,386.55,389.90,385.75,388.39,388.39,11396979
2024-01-11,383.09,388.51,377.99,383.49,383.49,8375454
2024-01-12,392.17,393.06,387.91,390.94,390.94,9242908
2024-01-15,392.42,393.94,390.69,393.10,393.10,11888116
2024-01-16,391.09,392.69,390.81,390.87,390.87,3471743
2024-01-17,390.35,391.75,389.34,389.55,389.55,7562495
2024-01-18,393.54,398.74,391.07,391.25,391.25,7848144
2024-01-19,388.33,390.19,387.65,388.10,388.10,7166505
2024-01-22,383.87,391.16,382.96,384.63,384.63,10056441
2024-01-23,391.01,395.41,389.29,393.50,393.50,6168915
2024-01-24,389.74,394.17,384.94,387.35,387.35,7182717
2024-01-25,379.96,381.25,378.84,379.42,379.42,3583856
2024-01-26,379.16,384.48,373.64,377.66,377.66,9283678
2024-01-29,381.19,381.68,380.93,381.64,381.64,9475452
2024-01-30,380.86,382.00,379.53,380.43,380.43,5489372
2024-01-31,382.05,382.59,378.38,382.45,382.45,8453564
2024-02-01,387.98,388.05,384.50,385.91,385.91,7395428
2024-02-02,390.96,391.15,386.99,389.20,389.20,11402602
2024-02-05,387.70,390.15,386.66,389.41,389.41,8448009
2024-02-06,383.73,385.06,382.04,384.18,384.18,8083325
2024-02-07,378.80,380.94,378.09,380.04,380.04,8370151
2024-02-08,377.73,379.77,377.26,378.75,378.75,9339295
2024-02-09,383.34,385.36,377.58,382.03,382.03,11509633
2024-02-12,386.72,388.73,386.64,386.67,386.67,13469819
2024-02-13,392.40,392.45,390.29,391.39,391.39,12342275
2024-02-14,386.99,389.67,382.18,386.31,386.31,9781717
2024-02-15,389.94,394.34,387.81,389.57,389.57,6651260
2024-02-16,391.97,393.85,388.25,391.25,391.25,11111257
2024-02-19,398.36,399.21,392.59,395.31,395.31,6615020
2024-02-20,402.57,403.78,400.41,402.24,402.24,8636662
2024-02-21,402.43,403.38,400.73,401.70,401.70,11177805
2024-02-22,393.93,394.91,390.91,393.58,393.58,8378861
2024-02-23,393.03,394.66,390.35,390.72,390.72,9176200
2024-02-26,383.36,385.96,382.11,384.46,384.46,5825167
2024-02-27,379.30,384.02,379.10,380.69,380.69,6211299
2024-02-28,381.28,382.95,375.98,380.93,380.93,8767018
2024-02-29,378.11,379.43,376.50,379.08,379.08,7887342
2024-03-01,377.12,378.97,376.34,378.05,378.05,9911220
2024-03-04,382.58,385.04,378.74,383.64,383.64,9739587
2024-03-05,380.54,383.90,379.39,381.55,381.55,9552783
2024-03-06,388.62,390.84,386.38,387.49,387.49,5520485
2024-03-07,388.46,390.69,387.64,390.50,390.50,11713443
2024-03-08,388.43,390.68,383.78,388.02,388.02,7916799
2024-03-11,386.20,390.44,383.10,388.26,388.26,5851921
2024-03-12,390.75,393.13,388.64,389.71,389.71,8732668
2024-03-13,394.73,398.44,392.41,394.84,394.84,8328946
2024-03-14,396.39,396.88,393.69,394.99,394.99,6959860
2024-03-15,393.11,393.71,390.25,392.06,392.06,10508311
