Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,407.49,412.75,404.98,409.59,409.59,7149453
2024-01-03,407.93,410.34,403.69,406.17,406.17,10020130
2024-01-04,406.50,406.84,404.11,406.57,406.57,10216910
2024-01-05,413.69,415.77,405.47,412.84,412.84,8021417
2024-01-08,407.38,411.85,404.67,407.85,407.85,4120064
2024-01-09,404.06,412.69,399.99,407.74,407.74,9598273
2024-01-10,407.22,412.23,406.17,409.48,409.48,5016568
2024-01-11,412.17,417.24,408.93,409.86,409.86,6516447
2024-01-12,406.39,412.89,400.85,408.97,408.97,6781281
2024-01-15,413.80,414.70,410.23,414.10,414.10,10674879
2024-01-16,406.07,408.33,406.03,407.45,407.45,9930978
2024-01-17,405.12,405.17,402.04,403.14,403.14,11817434
2024-01-18,396.54,397.49,394.39,395.86,395.86,7198631
2024-01-19,400.41,404.67,399.27,400.67,400.67,8956202
2024-01-22,410.48,413.00,408.09,408.23,408.23,10585829
2024-01-23,413.36,413.67,411.04,411.47,411.47,9516150
2024-01-24,406.58,407.57,406.45,407.18,407.18,8471029
2024-01-25,400.19,402.47,397.25,401.40,401.40,8659683
2024-01-26,399.11,402.74,395.83,400.74,400.74,4707138
2024-01-29,411.25,413.11,406.97,407.70,407.70,9005968
2024-01-30,403.59,407.64,400.82,406.18,406.18,4988099
2024-01-31,397.07,400.20,394.66,395.57,395.57,6199097
2024-02-01,392.91,394.74,391.70,394.07,394.07,11972046
2024-02-02,390.26,391.26,387.69,389.78,389.78,5970409
2024-02-05,377.80,382.87,377.54,378.48,378.48,11047667
2024-02-06,378.98,381.08,377.24,380.61,380.61,9934652
2024-02-07,381.27,382.14,381.04,381.25,381.25,9807558
2024-02-08,383.25,385.10,379.91,380.92,380.92,6482066
2024-02-09,381.31,385.15,376.32,376.38,376.38,9547237
2024-02-12,374.15,376.13,372.59,373.75,373.75,10700474
2024-02-13,364.37,369.59,362.52,367.27,367.27,4741469
2024-02-14,354.73,357.28,348.04,354.28,354.28,8096354
2024-02-15,351.11,352.16,349.84,351.88,351.88,10683093
