Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,372.78,375.72,369.59,371.52,371.52,10148839
2024-01-03,371.22,372.21,370.31,370.60,370.60,7986842
2024-01-04,366.77,369.34,360.83,366.15,366.15,5948133
2024-01-05,365.99,366.97,362.83,365.35,365.35,12723053
2024-01-08,366.14,369.58,365.70,366.90,366.90,10253170
2024-01-09,369.37,373.86,367.83,368.55,368.55,10260041
2024-01-10,374.42,375.73,372.26,374.64,374.64,6707312
2024-01-11,373.15,375.45,368.88,369.88,369.88,6993889
2024-01-12,370.64,372.24,370.37,371.20,371.20,6979337
2024-01-15,371.12,371.56,369.96,370.49,370.49,5466713
2024-01-16,375.98,376.75,372.05,373.01,373.01,7128695
2024-01-17,373.84,376.66,373.47,375.21,375.21,6430362
2024-01-18,380.58,385.12,379.15,380.99,380.99,6536290
2024-01-19,379.66,383.37,375.78,382.39,382.39,7779208
2024-01-22,385.00,385.57,381.99,384.96,384.96,11592256
2024-01-23,390.51,394.61,389.57,391.81,391.81,8936032
2024-01-24,387.08,390.44,386.62,390.19,390.19,9787702
2024-01-25,390.70,392.94,388.43,389.34,389.34,6998574
2024-01-26,391.74,392.12,382.70,389.78,389.78,8208827
2024-01-29,383.76,385.00,381.77,384.25,384.25,8989042
2024-01-30,374.29,375.83,372.98,374.90,374.90,10872016
2024-01-31,370.41,375.11,365.84,373.91,373.91,6862430
2024-02-01,378.23,382.19,377.93,379.48,379.48,8353152
2024-02-02,376.12,379.92,371.83,374.75,374.75,13103036
2024-02-05,367.48,368.68,366.03,367.65,367.65,6277410
2024-02-06,373.93,375.62,372.39,373.34,373.34,10260216
2024-02-07,371.50,374.54,368.96,373.30,373.30,9683846
2024-02-08,371.55,372.04,370.17,370.49,370.49,9492235
2024-02-09,371.00,375.27,367.85,374.26,374.26,6335256
2024-02-12,379.74,381.52,378.73,379.80,379.80,7117995
2024-02-13,370.69,372.04,367.82,371.62,371.62,10299955
2024-02-14,381.81,382.84,380.32,380.86,380.86,7032839
2024-02-15,379.75,381.44,377.25,378.92,378.92,9331102
2024-02-16,368.56,369.95,366.00,368.06,368.06,8731731
2024-02-19,361.30,364.06,360.99,362.87,362.87,8525155
2024-02-20,360.36,362.10,359.68,360.95,360.95,4468925
2024-02-21,374.44,374.44,370.41,372.83,372.83,10648224
2024-02-22,370.99,375.56,370.12,370.68,370.68,6771749
2024-02-23,363.26,363.82,362.54,362.80,362.80,11006679
2024-02-26,357.67,362.93,353.55,356.79,356.79,8029046
2024-02-27,357.77,359.00,355.62,357.29,357.29,6607508
2024-02-28,360.49,362.86,358.30,359.49,359.49,8988227
2024-02-29,360.03,360.48,357.52,360.31,360.31,6722338
2024-03-01,356.33,357.35,353.26,355.47,355.47,7384860
2024-03-04,355.46,357.64,353.36,355.78,355.78,7631725
2024-03-05,352.96,354.52,349.97,353.05,353.05,7304091
2024-03-06,350.73,351.16,348.16,348.98,348.98,8535813
2024-03-07,350.29,350.77,349.04,350.11,350.11,5551097
2024-03-08,349.75,353.59,347.95,349.02,349.02,9960136
2024-03-11,352.63,354.32,352.42,353.69,353.69,5311951
2024-03-12,345.87,346.99,343.35,344.81,344.81,9062931
2024-03-13,347.64,349.00,345.73,347.82,347.82,5323637
2024-03-14,348.55,348.62,346.28,347.62,347.62,8529583
2024-03-15,346.86,352.98,345.93,347.34,347.34,9329264
2024-03-18,346.03,351.43,344.69,348.95,348.95,8584683
2024-03-19,347.76,349.87,340.79,347.69,347.69,6634213
2024-03-20,343.96,346.50,342.89,343.77,343.77,6475664
2024-03-21,340.86,344.67,337.48,341.81,341.81,7281891
2024-03-22,340.90,342.40,338.22,341.92,341.92,7560293
2024-03-25,337.43,337.76,334.58,336.03,336.03,5696938
2024-03-26,337.06,338.43,336.85,337.37,337.37,3754836
2024-03-27,335.75,336.27,331.94,336.18,336.18,9664617
2024-03-28,334.70,335.61,333.90,334.55,334.55,6697546
2024-03-29,336.69,337.98,332.18,336.47,336.47,6454048
2024-04-01,338.51,341.60,335.43,339.03,339.03,8270016
2024-04-02,343.50,343.52,341.34,341.93,341.93,11670464
2024-04-03,342.79,347.00,337.58,343.26,343.26,6458410
2024-04-04,347.82,347.89,344.53,346.75,346.75,9481090
2024-04-05,342.29,346.71,340.04,341.94,341.94,6448353
2024-04-08,341.98,343.61,339.98,340.06,340.06,4144891
2024-04-09,334.64,335.82,333.21,335.33,335.33,6851638
2024-04-10,333.02,335.33,332.96,333.30,333.30,8704820
2024-04-11,339.96,340.50,335.22,337.93,337.93,8363433
2024-04-12,330.70,335.60,329.24,332.37,332.37,8002202
2024-04-15,332.46,337.66,331.09,331.15,331.15,4644131
2024-04-16,328.91,329.10,325.34,327.47,327.47,8516000
2024-04-17,326.24,330.11,325.24,328.49,328.49,7157902
2024-04-18,331.89,333.37,330.74,332.85,332.85,10058095
2024-04-19,330.32,330.87,327.93,329.65,329.65,7317205
2024-04-22,324.83,326.14,321.87,324.88,324.88,5689939
2024-04-23,323.61,325.81,322.58,322.82,322.82,10696025
2024-04-24,328.56,329.18,324.10,326.25,326.25,9620312
2024-04-25,327.06,329.32,325.30,327.78,327.78,10604635
2024-04-26,320.43,322.36,319.76,321.65,321.65,5396008
2024-04-29,325.75,327.56,324.59,325.19,325.19,9511229
2024-04-30,330.65,330.85,329.62,329.64,329.64,8745305
2024-05-01,330.88,331.78,328.33,329.29,329.29,9088815
2024-05-02,335.65,337.38,333.79,334.62,334.62,6520886
2024-05-03,338.74,339.23,337.66,338.59,338.59,8007194
2024-05-06,345.47,347.88,343.57,347.37,347.37,10265871
2024-05-07,341.53,342.42,338.15,341.31,341.31,10871840
2024-05-08,351.87,353.72,348.76,349.96,349.96,4550677
2024-05-09,341.58,343.86,340.96,341.91,341.91,10393929
2024-05-10,334.00,337.62,333.78,337.07,337.07,7689563
2024-05-13,338.73,339.15,336.87,337.51,337.51,9028281
2024-05-14,343.14,346.13,342.33,342.69,342.69,8156672
2024-05-15,342.56,343.52,342.30,342.75,342.75,5384175
2024-05-16,342.35,345.92,340.47,345.12,345.12,9308981
2024-05-17,350.10,355.59,347.97,348.67,348.67,6879595
2024-05-20,353.32,355.31,352.72,353.02,353.02,9078423
2024-05-21,349.45,351.84,348.02,350.56,350.56,7827900
2024-05-22,358.32,359.46,357.91,359.01,359.01,3122919
2024-05-23,360.75,360.82,360.48,360.48,360.48,5032097
2024-05-24,357.77,361.38,357.32,359.06,359.06,7177257
2024-05-27,360.41,362.40,358.25,360.22,360.22,10446877
2024-05-28,353.80,354.13,352.89,353.48,353.48,8150389
2024-05-29,351.65,353.26,350.90,351.11,351.11,8265497
2024-05-30,345.11,347.44,342.77,343.84,343.84,7114958
2024-05-31,346.62,348.79,344.50,348.14,348.14,6442518
2024-06-03,347.96,350.50,346.77,349.21,349.21,8492284
2024-06-04,352.46,353.18,350.34,350.47,350.47,7850277
2024-06-05,354.08,355.02,350.57,351.44,351.44,11124563
2024-06-06,356.82,361.72,355.60,358.22,358.22,9474590
2024-06-07,353.64,355.72,353.55,354.85,354.85,4662286
2024-06-10,361.70,365.68,355.73,358.83,358.83,9254049
2024-06-11,358.89,360.00,356.64,357.44,357.44,11498557
2024-06-12,363.08,365.47,359.77,364.64,364.64,5260922
2024-06-13,367.88,373.22,363.18,371.35,371.35,11436434
2024-06-14,368.31,369.06,363.59,369.02,369.02,10318718
2024-06-17,363.26,365.74,361.72,363.43,363.43,8209042
2024-06-18,358.08,359.97,357.45,357.95,357.95,5182118
2024-06-19,358.79,362.42,355.06,357.15,357.15,8091185
2024-06-20,356.61,361.05,353.78,358.55,358.55,10611542
2024-06-21,350.90,351.49,347.45,350.14,350.14,9295647
2024-06-24,347.80,348.34,341.64,345.35,345.35,8565890
2024-06-25,343.50,343.57,340.29,343.16,343.16,7375909
2024-06-26,342.78,343.96,341.16,343.32,343.32,7752011
2024-06-27,345.26,348.44,341.96,345.65,345.65,10123401
2024-06-28,350.74,351.43,346.83,349.03,349.03,9833992
2024-07-01,341.05,347.10,336.68,345.68,345.68,7563804
2024-07-02,346.98,347.67,345.71,347.31,347.31,8597628
2024-07-03,341.26,345.70,339.59,343.50,343.50,9374667
2024-07-04,339.97,341.40,336.87,340.17,340.17,8049938
2024-07-05,338.60,340.29,337.48,337.94,337.94,4706478
2024-07-08,338.39,344.67,337.58,341.20,341.20,5222899
2024-07-09,346.24,347.03,344.94,345.63,345.63,9183361
2024-07-10,348.28,350.97,347.20,347.88,347.88,8903792
2024-07-11,354.61,355.75,351.44,352.64,352.64,9191047
2024-07-12,353.22,355.60,351.21,355.01,355.01,6446578
2024-07-15,352.81,356.26,349.48,351.49,351.49,8494942
2024-07-16,342.27,348.50,342.17,346.58,346.58,3490842
2024-07-17,339.59,342.50,338.38,340.98,340.98,6828423
2024-07-18,332.17,334.37,331.04,332.82,332.82,7398171
2024-07-19,331.33,332.17,327.51,330.92,330.92,7090321
2024-07-22,330.99,333.42,329.30,332.69,332.69,5004613
2024-07-23,332.14,335.69,331.48,332.82,332.82,5340401
2024-07-24,336.07,336.66,331.78,336.54,336.54,5980115
2024-07-25,334.47,337.17,329.26,333.55,333.55,11081284
2024-07-26,333.11,341.70,332.57,336.43,336.43,10451873
2024-07-29,330.34,331.54,328.04,329.68,329.68,7811542
2024-07-30,333.00,333.26,328.65,331.06,331.06,9995128
2024-07-31,331.64,332.85,328.09,332.71,332.71,7483597
2024-08-01,335.09,335.96,334.61,335.58,335.58,8068171
2024-08-02,339.18,340.61,337.77,338.30,338.30,7324014
2024-08-05,328.16,330.52,326.34,328.04,328.04,6706517
2024-08-06,341.68,342.07,336.85,339.04,339.04,8231839
2024-08-07,343.39,344.74,341.77,342.71,342.71,6216965
2024-08-08,342.34,345.46,341.83,342.37,342.37,9211558
