Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,139.76,140.05,138.08,139.07,139.07,85061
2024-01-03,145.19,147.26,144.96,145.15,145.15,50043
2024-01-04,147.36,147.81,145.36,145.68,145.68,123580
2024-01-05,143.86,145.29,143.51,143.92,143.92,80092
2024-01-06,139.48,140.28,137.59,139.50,139.50,110392
2024-01-07,139.51,140.74,137.96,139.19,139.19,80010
2024-01-08,138.91,140.69,137.25,137.72,137.72,90874
2024-01-09,138.99,142.10,137.46,139.94,139.94,45109
2024-01-10,143.93,145.34,142.54,142.93,142.93,62462
2024-01-11,145.55,146.00,143.58,145.04,145.04,95968
2024-01-12,139.87,140.69,139.14,140.32,140.32,73551
2024-01-13,142.79,143.91,142.05,142.93,142.93,63626
2024-01-14,143.89,146.27,141.01,143.26,143.26,71018
2024-01-15,141.37,141.78,141.03,141.05,141.05,57824
2024-01-16,142.40,143.84,141.21,141.97,141.97,98918
2024-01-17,148.42,148.43,146.03,147.40,147.40,93617
2024-01-18,146.47,148.42,144.38,145.48,145.48,71293
2024-01-19,143.76,145.74,142.60,144.88,144.88,81583
2024-01-20,143.53,144.52,142.16,143.27,143.27,57609
2024-01-21,145.53,145.75,143.09,144.76,144.76,90356
2024-01-22,146.26,148.23,145.66,146.34,146.34,58422
2024-01-23,145.17,145.20,143.53,143.97,143.97,87504
2024-01-24,141.43,141.72,140.41,140.66,140.66,113442
2024-01-25,142.43,143.87,140.52,141.40,141.40,99484
2024-01-26,142.29,142.91,140.17,141.88,141.88,97598
2024-01-27,142.03,143.82,140.68,142.08,142.08,71634
2024-01-28,142.33,143.81,141.49,142.40,142.40,61084
2024-01-29,142.33,144.34,139.44,142.65,142.65,87810
2024-01-30,146.58,147.50,145.18,145.65,145.65,94109
2024-01-31,145.63,149.38,145.05,145.05,145.05,89716
2024-02-01,150.02,150.44,148.64,149.47,149.47,63566
2024-02-02,154.38,155.14,149.79,152.71,152.71,53442
2024-02-03,155.13,156.33,154.11,154.55,154.55,98823
2024-02-04,157.61,158.89,157.30,157.60,157.60,93652
2024-02-05,159.50,160.74,158.59,158.78,158.78,77177
2024-02-06,159.91,161.35,158.44,160.55,160.55,70923
2024-02-07,158.96,161.11,158.38,158.69,158.69,77542
2024-02-08,155.22,157.61,154.38,156.00,156.00,82176
2024-02-09,156.29,157.96,155.86,156.41,156.41,70963
2024-02-10,163.13,163.54,161.20,162.63,162.63,82593
2024-02-11,160.97,162.70,160.21,162.20,162.20,107403
2024-02-12,165.07,167.54,164.92,165.61,165.61,71203
2024-02-13,165.48,166.91,163.95,163.96,163.96,87408
2024-02-14,161.53,161.58,160.53,160.77,160.77,49369
2024-02-15,160.64,161.47,159.58,160.18,160.18,70342
2024-02-16,155.12,157.19,154.70,155.47,155.47,47162
2024-02-17,154.86,157.12,151.84,154.28,154.28,97921
2024-02-18,154.39,158.16,153.65,156.87,156.87,62964
2024-02-19,162.23,164.69,161.81,162.34,162.34,48439
2024-02-20,168.66,169.35,165.42,167.80,167.80,99259
2024-02-21,171.93,173.22,169.20,170.03,170.03,77502
2024-02-22,172.77,172.92,169.30,170.69,170.69,91197
2024-02-23,173.47,176.77,173.15,175.65,175.65,105525
2024-02-24,179.40,179.77,178.63,179.28,179.28,72324
2024-02-25,179.09,182.26,178.97,180.01,180.01,89096
2024-02-26,179.80,180.68,176.55,178.17,178.17,58890
2024-02-27,178.02,179.67,174.71,176.12,176.12,64206
2024-02-28,178.52,178.91,175.85,176.37,176.37,86451
2024-02-29,179.55,181.19,177.25,178.89,178.89,70111
2024-03-01,173.20,175.33,170.16,175.08,175.08,94421
2024-03-02,174.99,175.27,172.96,173.60,173.60,70874
2024-03-03,173.13,175.16,170.00,172.51,172.51,50103
2024-03-04,165.49,168.76,165.11,167.50,167.50,60034
2024-03-05,166.44,167.24,165.69,166.23,166.23,80956
2024-03-06,165.61,166.57,164.67,165.17,165.17,49633
2024-03-07,169.92,172.64,168.38,169.71,169.71,93151
2024-03-08,168.96,171.30,167.77,169.20,169.20,92736
2024-03-09,167.46,169.37,165.32,168.59,168.59,89360
2024-03-10,168.61,171.74,165.91,170.09,170.09,84170
2024-03-11,166.52,168.35,163.73,166.93,166.93,98836
2024-03-12,168.42,171.84,166.96,167.82,167.82,108943
2024-03-13,164.86,167.00,164.36,165.25,165.25,88023
2024-03-14,161.55,162.95,161.39,161.40,161.40,67888
2024-03-15,162.92,166.96,162.68,164.02,164.02,90823
2024-03-16,167.59,169.07,165.11,165.74,165.74,51059
2024-03-17,166.42,166.43,166.09,166.09,166.09,75264
2024-03-18,166.92,167.23,165.91,166.47,166.47,72237
2024-03-19,170.61,171.60,169.96,170.36,170.36,96506
2024-03-20,166.92,168.46,166.32,166.48,166.48,68297
2024-03-21,166.44,167.84,164.77,164.84,164.84,99459
2024-03-22,160.54,160.71,159.48,160.16,160.16,73332
2024-03-23,163.80,164.41,162.75,163.74,163.74,116716
2024-03-24,164.47,166.08,160.20,161.95,161.95,38824
2024-03-25,157.74,158.07,155.59,156.00,156.00,72430
2024-03-26,163.96,165.03,161.81,162.06,162.06,82362
2024-03-27,162.32,162.40,160.13,161.49,161.49,130679
2024-03-28,164.55,164.89,160.27,163.70,163.70,23633
2024-03-29,164.86,167.38,163.65,164.18,164.18,68335
2024-03-30,164.73,165.57,162.00,164.87,164.87,79999
2024-03-31,164.21,164.36,161.32,161.49,161.49,69350
2024-04-01,167.35,167.73,162.94,163.92,163.92,95532
2024-04-02,166.33,169.38,163.21,164.68,164.68,77800
2024-04-03,163.20,163.60,162.95,163.50,163.50,49463
2024-04-04,156.71,158.14,154.36,157.01,157.01,84467
2024-04-05,152.59,154.17,151.90,153.87,153.87,89783
2024-04-06,153.04,155.80,150.18,152.42,152.42,110622
2024-04-07,152.04,153.49,150.58,152.71,152.71,70737
2024-04-08,152.29,153.30,149.30,151.74,151.74,27634
2024-04-09,163.35,164.27,161.34,161.49,161.49,121802
2024-04-10,164.90,166.19,162.53,163.44,163.44,53021
2024-04-11,169.64,175.47,169.56,171.61,171.61,79683
2024-04-12,174.07,175.72,172.64,174.62,174.62,58439
2024-04-13,173.71,175.17,170.27,172.24,172.24,81264
2024-04-14,177.78,179.46,173.32,177.92,177.92,113235
2024-04-15,178.54,180.70,176.86,178.96,178.96,75473
2024-04-16,179.02,182.77,178.40,180.46,180.46,70439
2024-04-17,177.90,179.63,176.74,179.24,179.24,85197
2024-04-18,177.71,178.90,175.17,177.27,177.27,61169
2024-04-19,169.69,173.30,167.80,171.23,171.23,48067
2024-04-20,168.46,171.96,168.01,170.17,170.17,73651
2024-04-21,175.51,178.20,172.70,173.07,173.07,85819
2024-04-22,174.81,176.51,171.98,174.70,174.70,57940
2024-04-23,167.92,168.30,164.70,166.15,166.15,53414
2024-04-24,167.90,172.48,163.14,167.32,167.32,51651
2024-04-25,169.01,172.70,168.51,168.80,168.80,79108
2024-04-26,172.59,175.61,168.32,171.05,171.05,111197
2024-04-27,168.13,172.20,167.49,171.16,171.16,88611
2024-04-28,162.89,168.67,161.58,165.90,165.90,66304
2024-04-29,174.75,175.58,170.31,173.37,173.37,92484
2024-04-30,174.36,175.56,170.37,173.41,173.41,49081
2024-05-01,170.31,173.73,166.59,170.55,170.55,80941
2024-05-02,160.02,165.65,159.59,160.92,160.92,86528
2024-05-03,157.93,160.20,154.64,157.22,157.22,90474
