Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,443.20,448.12,436.13,441.08,441.08,6193039
2024-01-03,434.22,435.85,431.58,432.17,432.17,7825008
2024-01-04,428.12,429.66,427.69,429.39,429.39,4732120
2024-01-05,430.79,436.93,429.68,434.37,434.37,9003550
2024-01-08,442.33,448.71,438.79,445.37,445.37,9738687
2024-01-09,447.90,448.71,443.34,446.52,446.52,7100996
2024-01-10,443.74,446.64,440.00,442.27,442.27,7693696
2024-01-11,438.80,441.45,432.79,436.58,436.58,5249241
2024-01-12,437.29,439.33,436.67,436.79,436.79,6601083
2024-01-15,435.28,435.71,433.05,435.05,435.05,5875398
2024-01-16,433.97,440.30,431.11,432.77,432.77,7036828
2024-01-17,429.36,432.09,424.04,429.33,429.33,6248779
2024-01-18,417.50,423.16,415.53,421.82,421.82,10191731
2024-01-19,415.10,417.89,412.43,414.32,414.32,5420686
2024-01-22,410.61,414.83,408.47,409.78,409.78,9225085
2024-01-23,410.05,413.43,409.19,410.12,410.12,7840540
2024-01-24,406.81,409.53,404.07,408.95,408.95,12937085
2024-01-25,407.66,409.22,396.61,404.51,404.51,10173126
2024-01-26,408.85,410.04,405.79,408.99,408.99,4659477
2024-01-29,412.34,416.95,408.63,411.35,411.35,6790360
2024-01-30,404.35,408.17,403.15,407.11,407.11,12275212
2024-01-31,404.84,406.92,402.79,406.65,406.65,9891360
2024-02-01,405.60,407.07,405.34,407.07,407.07,7771984
2024-02-02,415.54,419.12,409.73,413.94,413.94,6660650
2024-02-05,405.73,407.93,403.33,403.97,403.97,5573003
2024-02-06,409.86,413.43,407.26,409.41,409.41,8263540
2024-02-07,408.44,409.06,404.88,406.88,406.88,5926604
2024-02-08,415.86,416.96,411.63,414.17,414.17,11397663
2024-02-09,408.53,411.22,406.25,407.60,407.60,5878929
2024-02-12,412.84,416.98,408.12,415.04,415.04,9717344
2024-02-13,420.43,420.95,418.16,420.75,420.75,9354574
