step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
0,Nicomachean by Aristotle.txt,0,0.500,0.000,0.500,0.450,0.450,0.450,0.450,0.450,0.450,0.000
1,Nicomachean by Aristotle.txt,1,0.500,0.000,0.500,0.661,0.654,0.645,0.608,0.686,0.697,0.000
2,Nicomachean by Aristotle.txt,2,0.500,0.000,0.500,0.737,0.783,0.795,0.716,0.807,0.834,0.000
3,Nicomachean by Aristotle.txt,3,0.500,0.000,0.500,0.828,0.826,0.878,0.814,0.843,0.908,0.000
4,Nicomachean by Aristotle.txt,4,0.500,0.000,0.500,0.870,0.886,0.880,0.878,0.845,0.950,0.000
5,Nicomachean by Aristotle.txt,5,0.500,0.000,0.500,0.853,0.916,0.910,0.873,0.873,0.972,0.000
6,Nicomachean by Aristotle.txt,6,0.500,0.000,0.500,0.884,0.908,0.937,0.871,0.878,0.985,0.000
7,Nicomachean by Aristotle.txt,7,0.500,0.000,0.500,0.905,0.887,0.925,0.872,0.908,0.992,0.000
8,Nicomachean by Aristotle.txt,8,0.500,0.000,0.500,0.920,0.904,0.942,0.882,0.941,0.995,0.000
9,Nicomachean by Aristotle.txt,9,0.500,0.000,0.500,0.931,0.905,0.959,0.935,0.939,0.997,0.000
10,Nicomachean by Aristotle.txt,10,0.500,0.000,0.500,0.905,0.921,0.944,0.923,0.907,0.999,0.000
11,Nicomachean by Aristotle.txt,11,0.500,0.000,0.500,0.909,0.898,0.938,0.948,0.925,0.770,0.000
12,Nicomachean by Aristotle.txt,12,0.500,0.000,0.500,0.881,0.902,0.912,0.869,0.870,0.833,0.000
13,Nicomachean by Aristotle.txt,13,0.500,0.000,0.500,0.909,0.918,0.939,0.870,0.917,0.898,0.000
14,Nicomachean by Aristotle.txt,14,0.500,0.000,0.500,0.880,0.916,0.926,0.873,0.927,0.941,0.000
15,Nicomachean by Aristotle.txt,15,0.500,0.000,0.500,0.910,0.919,0.937,0.861,0.916,0.967,0.000
16,Nicomachean by Aristotle.txt,16,0.500,0.000,0.500,0.912,0.923,0.940,0.895,0.870,0.754,0.000
17,Nicomachean by Aristotle.txt,17,0.500,0.000,0.500,0.916,0.910,0.937,0.886,0.903,0.817,0.000
18,Nicomachean by Aristotle.txt,18,0.500,0.000,0.500,0.932,0.924,0.943,0.894,0.928,0.888,0.000
19,Nicomachean by Aristotle.txt,19,0.500,0.000,0.500,0.942,0.904,0.930,0.891,0.902,0.767,0.000
20,Nicomachean by Aristotle.txt,20,0.500,0.000,0.500,0.917,0.910,0.916,0.874,0.864,0.827,0.000
21,Nicomachean by Aristotle.txt,21,0.500,0.000,0.500,0.888,0.899,0.886,0.906,0.861,0.894,0.000
22,Nicomachean by Aristotle.txt,22,0.500,0.000,0.500,0.919,0.893,0.922,0.945,0.917,0.769,0.000
23,Nicomachean by Aristotle.txt,23,0.500,0.000,0.500,0.904,0.920,0.907,0.942,0.932,0.827,0.000
24,Nicomachean by Aristotle.txt,24,0.500,0.000,0.500,0.865,0.861,0.879,0.906,0.947,0.894,0.000
25,Nicomachean by Aristotle.txt,25,0.500,0.000,0.500,0.918,0.891,0.880,0.905,0.911,0.939,0.000
26,Nicomachean by Aristotle.txt,26,0.500,0.000,0.500,0.915,0.893,0.896,0.876,0.921,0.768,0.000
27,Nicomachean by Aristotle.txt,27,0.500,0.000,0.500,0.922,0.889,0.922,0.900,0.945,0.822,0.000
28,Nicomachean by Aristotle.txt,28,0.500,0.000,0.500,0.924,0.870,0.867,0.930,0.949,0.890,0.000
29,Nicomachean by Aristotle.txt,29,0.500,0.000,0.500,0.911,0.876,0.906,0.923,0.939,0.936,0.000
