[19:31:05] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.10 H=1.00
[19:46:05] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.06 H=1.00
[20:01:05] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.11 H=1.00
[20:16:05] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.09 H=1.00
[20:31:05] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.00 H=1.00
[20:46:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.13 H=1.00
[21:01:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.05 H=1.00
[21:16:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.05 H=1.00
[21:31:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.00 H=1.00
[21:46:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.04 H=1.00
[22:01:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.04 H=1.00
[22:16:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.01 H=1.00
[22:31:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.07 H=1.00
[22:46:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.02 H=1.00
[23:01:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.03 H=1.00
[23:16:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.10 H=1.00
[23:31:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.07 H=1.00
[23:46:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.20 H=1.00
[00:01:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.03 H=1.00
[00:16:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.10 H=1.00
[00:31:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.03 H=1.00
[00:46:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.03 H=1.00
[01:01:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.04 H=1.00
[01:16:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.00 H=1.00
[01:31:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.04 H=1.00
[01:46:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.05 H=1.00
[02:01:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.06 H=1.00
[02:16:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.09 H=1.00
[02:31:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.09 H=1.00
[02:46:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.03 H=1.00
[03:01:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.02 H=1.00
[03:16:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.02 H=1.00
[03:31:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.12 H=1.00
[03:46:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.07 H=1.00
[04:01:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.03 H=1.00
[04:16:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.00 H=1.00
