[05:04:57] Reflecting on corpus↔the, and↔corpus, corpus↔of, corpus↔to φ=-0.01 H=1.00
[05:19:57] Reflecting on corpus↔the, and↔corpus, corpus↔of, corpus↔to φ=-0.00 H=1.00
[05:34:57] Reflecting on and↔corpus, corpus↔the, corpus↔of, corpus↔to φ=0.00 H=1.00
[05:49:57] Reflecting on corpus↔the, and↔corpus, corpus↔of, corpus↔to φ=-0.02 H=1.00
[06:04:57] Reflecting on corpus↔the, and↔corpus, corpus↔of, corpus↔to φ=0.01 H=1.00
[06:19:57] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.05 H=1.00
[06:34:57] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.02 H=1.00
[06:49:57] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.06 H=1.00
[07:04:57] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.02 H=1.00
[07:19:57] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.02 H=1.00
[07:34:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.03 H=1.00
[07:49:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.02 H=1.00
[08:04:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.08 H=1.00
[08:19:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.08 H=1.00
[08:34:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.10 H=1.00
[08:49:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.06 H=1.00
[09:04:58] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.04 H=1.00
[09:19:59] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.09 H=1.00
[09:34:59] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.07 H=1.00
[09:50:00] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.12 H=1.00
[10:05:01] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.01 H=1.00
[10:20:01] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.02 H=1.00
[10:35:01] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.12 H=1.00
[10:50:02] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.03 H=1.00
[11:05:02] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.13 H=1.00
[11:20:03] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.01 H=1.00
[11:35:03] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.10 H=1.00
[11:50:04] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.03 H=1.00
[12:05:04] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.06 H=1.00
[12:20:05] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.04 H=1.00
[12:35:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.06 H=1.00
[12:50:06] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.00 H=1.00
[13:05:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=-0.01 H=1.00
[13:20:07] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.07 H=1.00
[13:35:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.14 H=1.00
[13:50:08] Reflecting on corpus↔the, corpus↔of, and↔corpus, corpus↔to φ=0.08 H=1.00
