timestamp,tick,total_strength,S_fast,S_slow,n_fast,n_slow,n_released
2026-06-11_15-39-55,4288844,1355.14,197.85,1157.29,1185,2725,0
2026-06-11_16-03-30,4305397,1358.59,201.30,1157.29,1230,2725,0
2026-06-11_16-16-08,4317336,1361.29,204.00,1157.29,1255,2725,0
2026-06-11_16-40-29,4335174,1366.92,207.79,1159.13,1305,2725,0
2026-06-11_16-48-54,4342352,1367.22,208.09,1159.13,1310,2725,0
2026-06-11_17-10-38,4356545,1371.42,210.83,1160.59,1360,2725,0
2026-06-11_17-18-17,4363650,1371.72,211.13,1160.59,1365,2725,0
2026-06-11_17-46-09,4384925,1375.02,214.43,1160.59,1415,2725,0
2026-06-11_17-58-15,4388433,1397.20,215.82,1181.39,1435,2770,0
2026-06-11_20-13-43,4540543,1545.59,248.38,1297.21,1681,2960,0
2026-06-11_20-35-48,4564171,1572.64,253.07,1319.57,1751,2985,0
2026-06-11_21-23-23,4616260,1580.74,261.17,1319.57,1876,2985,0
2026-06-11_21-39-12,4631963,1583.89,264.32,1319.57,1918,2985,0
2026-06-11_23-38-05,4765443,1603.99,284.42,1319.57,2158,2985,0
2026-06-12_01-22-51,4883515,1621.69,302.12,1319.57,2358,2985,0
2026-06-12_01-47-36,4901275,1624.39,304.82,1319.57,2403,2985,0
2026-06-12_01-47-37,4901275,1624.39,304.82,1319.57,2403,2985,0
