cycle_number,capacity_mAhg
1,195.0
2,195.1
3,195.0
4,195.1
5,195.4
6,194.4
7,195.3
8,194.6
9,194.8
10,195.0
11,194.8
12,194.0
13,194.4
14,194.3
15,194.3
16,194.8
17,194.5
18,194.9
19,194.9
20,194.4
21,194.5
22,194.4
23,194.3
24,194.1
25,194.6
26,194.5
27,194.6
28,195.0
29,194.7
30,194.2
31,194.8
32,194.0
33,195.0
34,193.9
35,194.0
36,194.3
37,194.0
38,194.0
39,194.4
40,194.0
41,194.4
42,194.3
43,194.4
44,194.2
45,194.0
46,193.7
47,193.7
48,194.2
49,194.0
50,193.8
51,193.6
52,193.3
53,194.0
54,193.7
55,193.5
56,193.4
57,193.8
58,193.7
59,193.1
60,193.3
61,193.4
62,193.6
63,192.9
64,192.7
65,193.2
66,193.2
67,192.9
68,193.4
69,193.1
70,193.2
71,193.1
72,193.0
73,192.9
74,192.9
75,192.0
76,192.7
77,192.7
78,192.6
79,192.2
80,191.8
81,192.8
82,192.3
83,192.0
84,192.1
85,192.1
86,191.9
87,192.1
88,192.2
89,192.4
90,192.0
91,192.0
92,191.9
93,191.3
94,191.3
95,192.0
96,192.1
97,191.5
98,191.8
99,191.5
100,191.3
101,191.8
102,191.1
103,191.7
104,190.9
105,191.2
106,190.8
107,191.1
108,191.4
109,191.0
110,190.9
111,191.3
112,190.9
113,191.3
114,190.8
115,190.9
116,190.8
117,190.6
118,189.8
119,190.5
120,190.3
121,190.1
122,190.3
123,190.8
124,190.6
125,190.1
126,190.6
127,189.8
128,190.4
129,190.0
130,190.0
131,190.1
132,189.4
133,189.8
134,190.0
135,190.1
136,190.1
137,189.0
138,189.5
139,189.8
140,189.5
141,189.7
142,189.5
143,189.6
144,189.5
145,188.9
146,188.8
147,189.0
148,189.5
149,189.1
150,189.0
151,188.8
152,188.8
153,188.6
154,188.8
155,188.6
156,187.9
157,187.8
158,187.3
159,187.6
160,187.5
161,187.3
162,187.4
163,186.8
164,186.4
165,186.6
166,186.6
167,186.1
168,186.9
169,186.4
170,186.1
171,185.8
172,185.7
173,185.4
174,185.5
175,185.0
176,185.4
177,185.2
178,184.8
179,184.8
180,184.7
181,184.6
182,184.0
183,184.5
184,184.2
185,183.4
186,183.7
187,183.1
188,183.0
189,183.1
190,183.4
191,182.8
192,182.4
193,182.3
194,182.5
195,181.8
196,182.0
197,181.7
198,182.3
199,182.0
200,181.5
201,181.6
202,181.1
203,180.9
204,180.8
205,181.5
206,180.9
207,181.0
208,180.8
209,180.6
210,181.5
211,180.8
212,180.4
213,180.6
214,180.6
215,180.9
216,180.1
217,180.1
218,179.7
219,180.0
220,180.2
221,179.5
222,179.4
223,179.6
224,179.4
225,179.6
226,179.3
227,179.7
228,179.5
229,179.2
230,179.0
231,178.9
232,178.7
233,178.7
234,179.3
235,179.0
236,178.8
237,178.8
238,178.7
239,177.9
240,178.6
241,177.7
242,178.8
243,178.5
244,177.7
245,178.1
246,177.7
247,177.6
248,177.6
249,177.6
250,177.5
251,177.0
252,176.8
253,177.8
254,177.1
255,177.1
256,177.1
257,177.0
258,176.9
259,177.0
260,177.0
261,176.9
262,176.4
263,176.6
264,177.1
265,176.3
266,176.2
267,176.2
