capacity_mAhg,voltage_V
0.00,3.0004
0.13,3.0147
0.27,3.0255
0.40,3.0408
0.53,3.0543
0.67,3.0628
0.80,3.0806
0.93,3.0902
1.07,3.1099
1.20,3.1186
1.33,3.1340
1.47,3.1491
1.60,3.1580
1.73,3.1715
1.87,3.1855
2.00,3.2035
2.13,3.2109
2.27,3.2264
2.40,3.2400
2.54,3.2532
2.67,3.2666
2.80,3.2788
2.94,3.2915
3.07,3.3061
3.20,3.3159
3.34,3.3371
3.47,3.3453
3.60,3.3592
3.74,3.3720
3.87,3.3875
4.00,3.3978
4.14,3.4105
4.27,3.4278
4.40,3.4402
4.54,3.4518
4.67,3.4692
4.80,3.4807
4.94,3.4942
5.07,3.4988
5.20,3.4994
5.34,3.5023
5.47,3.5017
5.60,3.5045
5.74,3.5070
5.87,3.5086
6.00,3.5078
6.14,3.5088
6.27,3.5103
6.40,3.5113
6.54,3.5101
6.67,3.5099
6.80,3.5162
6.94,3.5146
7.07,3.5153
7.20,3.5185
7.34,3.5204
7.47,3.5219
7.61,3.5206
7.74,3.5191
7.87,3.5253
8.01,3.5221
8.14,3.5253
8.27,3.5251
8.41,3.5285
8.54,3.5341
8.67,3.5327
8.81,3.5314
8.94,3.5310
9.07,3.5338
9.21,3.5334
9.34,3.5345
9.47,3.5388
9.61,3.5362
9.74,3.5403
9.87,3.5394
10.01,3.5399
10.14,3.5408
10.27,3.5426
10.41,3.5436
10.54,3.5425
10.67,3.5466
10.81,3.5494
10.94,3.5494
11.07,3.5489
11.21,3.5518
11.34,3.5493
11.47,3.5504
11.61,3.5510
11.74,3.5521
11.87,3.5533
12.01,3.5561
12.14,3.5569
12.27,3.5574
12.41,3.5605
12.54,3.5599
12.68,3.5635
12.81,3.5656
12.94,3.5625
13.08,3.5684
13.21,3.5652
13.34,3.5666
13.48,3.5694
13.61,3.5656
13.74,3.5675
13.88,3.5707
14.01,3.5719
14.14,3.5696
14.28,3.5753
14.41,3.5742
14.54,3.5769
14.68,3.5764
14.81,3.5810
14.94,3.5779
15.08,3.5788
15.21,3.5778
15.34,3.5827
15.48,3.5853
15.61,3.5879
15.74,3.5859
15.88,3.5880
16.01,3.5864
16.14,3.5905
16.28,3.5916
16.41,3.5918
16.54,3.5903
16.68,3.5912
16.81,3.5961
16.94,3.5920
17.08,3.5997
17.21,3.5945
17.34,3.6002
17.48,3.5957
17.61,3.6015
17.75,3.6043
17.88,3.6049
18.01,3.6077
18.15,3.6089
18.28,3.6055
18.41,3.6042
18.55,3.6078
18.68,3.6063
18.81,3.6113
18.95,3.6092
19.08,3.6113
19.21,3.6115
19.35,3.6142
19.48,3.6158
19.61,3.6175
19.75,3.6211
19.88,3.6195
20.01,3.6204
20.15,3.6218
20.28,3.6260
20.41,3.6270
20.55,3.6240
20.68,3.6261
20.81,3.6262
20.95,3.6280
21.08,3.6289
21.21,3.6318
21.35,3.6310
21.48,3.6360
21.61,3.6353
21.75,3.6337
21.88,3.6337
22.01,3.6374
22.15,3.6424
22.28,3.6373
22.41,3.6405
22.55,3.6437
22.68,3.6431
22.82,3.6427
22.95,3.6436
23.08,3.6438
23.22,3.6425
23.35,3.6471
23.48,3.6468
23.62,3.6495
23.75,3.6506
23.88,3.6481
24.02,3.6510
24.15,3.6545
24.28,3.6557
24.42,3.6528
24.55,3.6573
24.68,3.6585
24.82,3.6563
24.95,3.6597
25.08,3.6600
25.22,3.6596
25.35,3.6614
25.48,3.6653
25.62,3.6642
25.75,3.6629
25.88,3.6686
26.02,3.6684
26.15,3.6664
26.28,3.6671
26.42,3.6707
26.55,3.6713
26.68,3.6727
26.82,3.6752
26.95,3.6758
27.08,3.6741
27.22,3.6781
27.35,3.6798
27.48,3.6828
27.62,3.6805
27.75,3.6846
27.89,3.6816
28.02,3.6806
28.15,3.6867
28.29,3.6840
28.42,3.6890
28.55,3.6865
28.69,3.6907
28.82,3.6918
28.95,3.6921
29.09,3.6919
29.22,3.6910
29.35,3.6956
29.49,3.6949
29.62,3.6964
29.75,3.6994
29.89,3.6949
30.02,3.6991
30.15,3.7012
30.29,3.7014
30.42,3.6979
30.55,3.7029
30.69,3.7010
30.82,3.7058
30.95,3.7034
31.09,3.7040
31.22,3.7037
31.35,3.6992
31.49,3.7036
31.62,3.7034
31.75,3.6997
31.89,3.7021
32.02,3.7031
32.15,3.7031
32.29,3.7027
32.42,3.7037
32.56,3.7025
32.69,3.7089
32.82,3.7040
32.96,3.7043
33.09,3.7054
33.22,3.7054
33.36,3.7030
33.49,3.7063
33.62,3.7034
33.76,3.7072
33.89,3.7065
34.02,3.7089
34.16,3.7086
34.29,3.7110
34.42,3.7074
34.56,3.7081
34.69,3.7133
34.82,3.7140
34.96,3.7105
35.09,3.7101
35.22,3.7092
35.36,3.7088
35.49,3.7093
35.62,3.7096
35.76,3.7105
35.89,3.7109
36.02,3.7113
36.16,3.7135
36.29,3.7111
36.42,3.7100
36.56,3.7139
36.69,3.7129
36.82,3.7143
36.96,3.7116
37.09,3.7111
37.22,3.7124
37.36,3.7156
37.49,3.7133
37.63,3.7144
37.76,3.7169
37.89,3.7142
38.03,3.7149
38.16,3.7169
38.29,3.7187
38.43,3.7158
38.56,3.7175
38.69,3.7216
38.83,3.7153
38.96,3.7180
39.09,3.7208
39.23,3.7179
39.36,3.7179
39.49,3.7175
39.63,3.7199
39.76,3.7221
39.89,3.7204
40.03,3.7236
40.16,3.7212
40.29,3.7226
40.43,3.7248
40.56,3.7172
40.69,3.7189
40.83,3.7197
40.96,3.7198
41.09,3.7261
41.23,3.7225
41.36,3.7248
41.49,3.7234
41.63,3.7233
41.76,3.7188
41.89,3.7216
42.03,3.7221
42.16,3.7204
42.29,3.7295
42.43,3.7238
42.56,3.7228
42.70,3.7262
42.83,3.7258
42.96,3.7240
43.10,3.7252
43.23,3.7287
43.36,3.7279
43.50,3.7272
43.63,3.7279
43.76,3.7279
43.90,3.7235
44.03,3.7300
44.16,3.7272
44.30,3.7291
44.43,3.7281
44.56,3.7298
44.70,3.7262
44.83,3.7314
44.96,3.7314
45.10,3.7272
45.23,3.7312
45.36,3.7299
45.50,3.7307
45.63,3.7292
45.76,3.7314
45.90,3.7297
46.03,3.7316
46.16,3.7325
46.30,3.7332
46.43,3.7323
46.56,3.7310
46.70,3.7323
46.83,3.7330
46.96,3.7297
47.10,3.7383
47.23,3.7352
47.36,3.7361
47.50,3.7388
47.63,3.7330
47.77,3.7372
47.90,3.7393
48.03,3.7393
48.17,3.7356
48.30,3.7378
48.43,3.7348
48.57,3.7357
48.70,3.7358
48.83,3.7377
48.97,3.7384
49.10,3.7401
49.23,3.7405
49.37,3.7391
49.50,3.7420
49.63,3.7384
49.77,3.7392
49.90,3.7367
50.03,3.7395
50.17,3.7435
50.30,3.7389
50.43,3.7415
50.57,3.7426
50.70,3.7403
50.83,3.7409
50.97,3.7402
51.10,3.7432
51.23,3.7437
51.37,3.7449
51.50,3.7421
51.63,3.7422
51.77,3.7412
51.90,3.7457
52.03,3.7464
52.17,3.7442
52.30,3.7464
52.43,3.7461
52.57,3.7471
52.70,3.7469
52.84,3.7435
52.97,3.7442
53.10,3.7483
53.24,3.7459
53.37,3.7442
53.50,3.7459
53.64,3.7512
53.77,3.7460
53.90,3.7475
54.04,3.7480
54.17,3.7502
54.30,3.7485
54.44,3.7465
54.57,3.7500
54.70,3.7506
54.84,3.7477
54.97,3.7485
55.10,3.7480
55.24,3.7499
55.37,3.7474
55.50,3.7509
55.64,3.7517
55.77,3.7553
55.90,3.7524
56.04,3.7521
56.17,3.7517
56.30,3.7532
56.44,3.7524
56.57,3.7559
56.70,3.7566
56.84,3.7547
56.97,3.7533
57.10,3.7592
57.24,3.7559
57.37,3.7519
57.51,3.7528
57.64,3.7585
57.77,3.7577
57.91,3.7531
58.04,3.7558
58.17,3.7549
58.31,3.7576
58.44,3.7560
58.57,3.7556
58.71,3.7627
58.84,3.7611
58.97,3.7536
59.11,3.7589
59.24,3.7589
59.37,3.7601
59.51,3.7596
59.64,3.7594
59.77,3.7607
59.91,3.7573
60.04,3.7572
60.17,3.7561
60.31,3.7586
60.44,3.7598
60.57,3.7617
60.71,3.7662
60.84,3.7642
60.97,3.7648
61.11,3.7664
61.24,3.7684
61.37,3.7727
61.51,3.7711
61.64,3.7721
61.77,3.7669
61.91,3.7713
62.04,3.7718
62.17,3.7744
62.31,3.7765
62.44,3.7728
62.58,3.7735
62.71,3.7726
62.84,3.7751
62.98,3.7788
63.11,3.7784
63.24,3.7801
63.38,3.7790
63.51,3.7822
63.64,3.7817
63.78,3.7836
63.91,3.7865
64.04,3.7843
64.18,3.7832
64.31,3.7850
64.44,3.7892
64.58,3.7882
64.71,3.7892
64.84,3.7898
64.98,3.7898
65.11,3.7921
65.24,3.7942
65.38,3.7901
65.51,3.7941
65.64,3.7936
65.78,3.7932
65.91,3.7947
66.04,3.7984
66.18,3.7986
66.31,3.8003
66.44,3.7998
66.58,3.8002
66.71,3.8030
66.84,3.8006
66.98,3.8029
67.11,3.8043
67.24,3.7998
67.38,3.8049
67.51,3.8024
67.65,3.8053
67.78,3.8042
67.91,3.8082
68.05,3.8133
68.18,3.8064
68.31,3.8125
68.45,3.8086
68.58,3.8104
68.71,3.8118
68.85,3.8122
68.98,3.8135
69.11,3.8138
69.25,3.8167
69.38,3.8181
69.51,3.8165
69.65,3.8161
69.78,3.8181
69.91,3.8195
70.05,3.8208
70.18,3.8163
70.31,3.8199
70.45,3.8243
70.58,3.8238
70.71,3.8230
70.85,3.8281
70.98,3.8269
71.11,3.8266
71.25,3.8283
71.38,3.8274
71.51,3.8280
71.65,3.8315
71.78,3.8316
71.91,3.8297
72.05,3.8321
72.18,3.8318
72.31,3.8372
72.45,3.8352
72.58,3.8324
72.72,3.8375
72.85,3.8377
72.98,3.8385
73.12,3.8371
73.25,3.8407
73.38,3.8395
73.52,3.8391
73.65,3.8406
73.78,3.8427
73.92,3.8403
74.05,3.8454
74.18,3.8436
74.32,3.8480
74.45,3.8457
74.58,3.8455
74.72,3.8470
74.85,3.8512
74.98,3.8463
75.12,3.8509
75.25,3.8507
75.38,3.8522
75.52,3.8529
75.65,3.8531
75.78,3.8613
75.92,3.8574
76.05,3.8566
76.18,3.8554
76.32,3.8546
76.45,3.8613
76.58,3.8617
76.72,3.8583
76.85,3.8654
76.98,3.8599
77.12,3.8607
77.25,3.8626
77.38,3.8629
77.52,3.8633
77.65,3.8689
77.79,3.8643
77.92,3.8701
78.05,3.8681
78.19,3.8701
78.32,3.8671
78.45,3.8717
78.59,3.8701
78.72,3.8754
78.85,3.8785
78.99,3.8721
79.12,3.8753
79.25,3.8763
79.39,3.8799
79.52,3.8762
79.65,3.8805
79.79,3.8792
79.92,3.8779
80.05,3.8806
80.19,3.8806
80.32,3.8848
80.45,3.8791
80.59,3.8843
80.72,3.8842
80.85,3.8808
80.99,3.8868
81.12,3.8871
81.25,3.8829
81.39,3.8891
81.52,3.8859
81.65,3.8856
81.79,3.8866
81.92,3.8823
82.05,3.8874
82.19,3.8884
82.32,3.8891
82.45,3.8913
82.59,3.8890
82.72,3.8894
82.86,3.8932
82.99,3.8927
83.12,3.8952
83.26,3.8935
83.39,3.8918
83.52,3.8929
83.66,3.8975
83.79,3.8997
83.92,3.8974
84.06,3.8952
84.19,3.8964
84.32,3.8981
84.46,3.8982
84.59,3.8969
84.72,3.8950
84.86,3.9010
84.99,3.9009
85.12,3.9010
85.26,3.8979
85.39,3.9044
85.52,3.8986
85.66,3.9029
85.79,3.9044
85.92,3.9036
86.06,3.9036
86.19,3.9038
86.32,3.9069
86.46,3.9030
86.59,3.9113
86.72,3.9071
86.86,3.9080
86.99,3.9076
87.12,3.9099
87.26,3.9076
87.39,3.9070
87.53,3.9077
87.66,3.9107
87.79,3.9084
87.93,3.9129
88.06,3.9119
88.19,3.9127
88.33,3.9084
88.46,3.9173
88.59,3.9149
88.73,3.9145
88.86,3.9153
88.99,3.9167
89.13,3.9167
89.26,3.9152
89.39,3.9165
89.53,3.9191
89.66,3.9178
89.79,3.9195
89.93,3.9218
90.06,3.9185
90.19,3.9240
90.33,3.9218
90.46,3.9170
90.59,3.9216
90.73,3.9192
90.86,3.9231
90.99,3.9233
91.13,3.9239
91.26,3.9262
91.39,3.9265
91.53,3.9290
91.66,3.9281
91.79,3.9314
91.93,3.9308
92.06,3.9257
92.19,3.9281
92.33,3.9319
92.46,3.9303
92.60,3.9322
92.73,3.9314
92.86,3.9328
93.00,3.9333
93.13,3.9305
93.26,3.9325
93.40,3.9342
93.53,3.9317
93.66,3.9323
93.80,3.9340
93.93,3.9331
94.06,3.9344
94.20,3.9352
94.33,3.9363
94.46,3.9372
94.60,3.9391
94.73,3.9384
94.86,3.9425
95.00,3.9410
95.13,3.9425
95.26,3.9422
95.40,3.9387
95.53,3.9412
95.66,3.9421
95.80,3.9438
95.93,3.9447
96.06,3.9462
96.20,3.9438
96.33,3.9453
96.46,3.9436
96.60,3.9493
96.73,3.9451
96.86,3.9454
97.00,3.9523
97.13,3.9501
97.26,3.9478
97.40,3.9515
97.53,3.9504
97.67,3.9504
