temperature_C,heat_flow_mW
25.00,0.0972
25.14,0.1413
25.28,0.1059
25.41,0.1270
25.55,0.0975
25.69,0.0993
25.83,0.1159
25.96,0.1175
26.10,0.0988
26.24,0.0539
26.38,0.0980
26.51,0.1152
26.65,0.1021
26.79,0.1109
26.93,0.1073
27.06,0.0734
27.20,0.1199
27.34,0.0907
27.48,0.0924
27.61,0.1144
27.75,0.0881
27.89,0.1081
28.03,0.0859
28.16,0.0994
28.30,0.0958
28.44,0.0942
28.58,0.0872
28.71,0.1028
28.85,0.1063
28.99,0.1225
29.13,0.0927
29.26,0.1053
29.40,0.1485
29.54,0.1124
29.68,0.1143
29.81,0.1135
29.95,0.0709
30.09,0.1002
30.23,0.0624
30.37,0.1226
30.50,0.1395
30.64,0.0951
30.78,0.1410
30.92,0.0835
31.05,0.0822
31.19,0.1172
31.33,0.0900
31.47,0.0965
31.60,0.1283
31.74,0.0872
31.88,0.1012
32.02,0.1047
32.15,0.1147
32.29,0.1219
32.43,0.1054
32.57,0.0836
32.70,0.1279
32.84,0.1653
32.98,0.1244
33.12,0.1193
33.25,0.1007
33.39,0.1033
33.53,0.0807
33.67,0.1210
33.80,0.1061
33.94,0.1347
34.08,0.0883
34.22,0.1365
34.35,0.1032
34.49,0.0973
34.63,0.1000
34.77,0.0976
34.90,0.0681
35.04,0.1228
35.18,0.1257
35.32,0.1359
35.46,0.1246
35.59,0.1237
35.73,0.0772
35.87,0.1145
36.01,0.0883
36.14,0.1056
36.28,0.1392
36.42,0.1121
36.56,0.0593
36.69,0.0917
36.83,0.1005
36.97,0.1075
37.11,0.1309
37.24,0.1290
37.38,0.1286
37.52,0.1172
37.66,0.1068
37.79,0.1056
37.93,0.1216
38.07,0.1317
38.21,0.1443
38.34,0.1152
38.48,0.1194
38.62,0.1433
38.76,0.0920
38.89,0.1303
39.03,0.0983
39.17,0.1460
39.31,0.1424
39.44,0.1473
39.58,0.1454
39.72,0.1315
39.86,0.0944
39.99,0.1249
40.13,0.1330
40.27,0.1248
40.41,0.1131
40.55,0.1187
