symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
NVDA,2025-11-21T05:00:00+00:00,0.2777777777777778,0.30608295529076235,0,0,0,0.5098428540768579,3,0,-1,0.06115831842576025
NVDA,2026-01-22T05:00:00+00:00,0.2777777777777778,0.30374892997335334,0,0,0,0.5102392478710589,3,0,-1,0.026942220298636688
NVDA,2026-02-12T05:00:00+00:00,0.33333333333333337,0.29833903349535307,0,0,0,0.5104433420302554,3,0,-1,0.015406012624371357
INTC,2025-11-21T05:00:00+00:00,0.5833333333333334,0.3141685652379182,0,0,0,0.6957964559762629,3,1,0,0.27855072463768105
INTC,2026-01-22T05:00:00+00:00,0.5238095238095237,0.2986462894613912,1,0,0,0.3858400756520319,3,0,0,-0.187960235640648
INTC,2026-02-12T05:00:00+00:00,0.4375,0.30218178160782466,0,0,0,0.46208029022373176,3,0,-1,-0.05098967297762469
F,2025-11-21T05:00:00+00:00,0.5384615384615384,0.33255208228283073,0,0,0,0.3467751126488277,3,0,0,0.09197194076383464
F,2026-01-22T05:00:00+00:00,0.5384615384615384,0.33103244979495605,0,0,0,0.3350090958109046,3,0,0,0.02188183807439814
F,2026-02-12T05:00:00+00:00,0.5384615384615384,0.3303691108992564,0,0,0,0.33581813982358855,3,0,0,0.0007142857142856673
TSLA,2025-11-21T05:00:00+00:00,0.36486486486486486,0.27175267340135145,1,0,0,0.34834294836174434,3,0,-1,0.053005702012324685
TSLA,2026-01-22T05:00:00+00:00,0.33783783783783783,0.2758484697163185,-1,0,1,0.4519658936601243,3,2,-1,-0.0835410361402884
TSLA,2026-02-12T05:00:00+00:00,0.33783783783783783,0.2741816513958466,-1,0,1,0.45204301887606246,3,2,-1,-0.012587814995084767
NFLX,2025-11-21T05:00:00+00:00,0.40625,0.378065173107641,-1,0,1,0.34100962072157337,3,2,0,-0.24580577125874792
NFLX,2026-01-22T05:00:00+00:00,0.46875,0.377590761247389,-1,0,1,0.4400248457403779,3,2,0,-0.058295427340196326
NFLX,2026-02-12T05:00:00+00:00,0.40625,0.37744269183738877,-1,0,1,0.44001957447395124,3,2,0,0.037041919325072614
PLTR,2025-11-21T05:00:00+00:00,0.3846153846153846,0.29430466200041605,1,0,0,0.34529932700472166,3,0,-1,-0.1266386825960606
PLTR,2026-01-22T05:00:00+00:00,0.4038461538461538,0.2909472168495953,-1,0,1,0.4479532241725407,3,2,-1,-0.18481012658227847
PLTR,2026-02-12T05:00:00+00:00,0.4150943396226415,0.28690900370281575,0,0,0,0.4761255127078232,3,1,-1,0.047316657631844006
BAC,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.02909231962761827
BAC,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.011630123927550029
BAC,2026-02-12T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.010281797410510274
AMZN,2025-11-21T05:00:00+00:00,0.9444444444444444,0.336255534523833,0,0,0,0.4348939561904879,3,0,0,-0.047940550092890444
AMZN,2026-01-22T05:00:00+00:00,0.9444444444444444,0.3407187788400755,0,0,0,0.4351989583699827,3,0,0,-0.10339677391823843
AMZN,2026-02-12T05:00:00+00:00,0.9444444444444444,0.34249385500950935,0,0,0,0.435162175868791,3,0,0,0.052655310621242624
T,2025-11-21T05:00:00+00:00,0.875,0.3806715335303445,0,0,0,0.4363053062848067,3,0,0,0.07905900501349783
T,2026-01-22T05:00:00+00:00,0.875,0.38066086703842683,0,0,0,0.4364802733051494,3,0,0,0.18659881255301114
T,2026-02-12T05:00:00+00:00,0.875,0.3806502466951763,0,0,0,0.4366874875164548,3,0,0,-0.028472222222222232
AAPL,2025-11-21T05:00:00+00:00,0.5,0.44100405809505,-1,0,1,0.7666666666666666,3,2,0,-0.025452134516925184
AAPL,2026-01-22T05:00:00+00:00,0.5,0.4411608862115459,-1,0,1,0.7666666666666666,3,2,0,0.06535131870344268
AAPL,2026-02-12T05:00:00+00:00,0.5,0.4411065475753237,-1,0,1,0.7666666666666666,3,2,0,0.010889084170710106
PFE,2025-11-21T05:00:00+00:00,0.75,0.6736370806702094,-1,0,0,0.6666666666666666,3,1,0,0.06429712460063897
PFE,2026-01-22T05:00:00+00:00,0.75,0.6746915355905725,-1,0,0,0.6666666666666666,3,1,0,0.021072796934865856
PFE,2026-02-12T05:00:00+00:00,0.75,0.6738652868980027,-1,0,0,0.6666666666666666,3,1,0,-0.02985074626865669
SMCI,2025-11-21T05:00:00+00:00,0.235,0.2657125191703735,-1,0,0,0.359389689652677,3,0,-1,0.007145076110593562
SMCI,2026-01-22T05:00:00+00:00,0.2376237623762376,0.2657769015556005,-1,0,1,0.36054727074492243,3,2,-1,-0.0009244992295840415
SMCI,2026-02-12T05:00:00+00:00,0.22596153846153844,0.2664776039468097,-1,0,0,0.4681074582713556,3,0,-1,0.06539599079855418
MU,2025-11-21T05:00:00+00:00,0.3,0.28368983848953466,1,0,0,0.3778132094766906,3,0,0,1.0647634662680234
