symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
ABVX,2025-11-21T05:00:00+00:00,0.42647058823529416,0.2949257483628967,-1,0,0,0.3380450151441241,3,0,0,0.09427468099395564
ABVX,2026-01-22T05:00:00+00:00,0.4444444444444444,0.2899572759871186,-1,0,0,0.3342718218650344,3,1,0,0.05435573889832557
ABVX,2026-02-12T05:00:00+00:00,0.4166666666666667,0.2905252182013856,1,0,0,0.33586443254491055,3,0,0,0.046651678175686495
ACHC,2025-11-21T05:00:00+00:00,0.5555555555555556,0.32696357615156163,0,0,0,0.597945158946207,3,1,0,0.10606060606060597
ACHC,2026-01-22T05:00:00+00:00,0.5869565217391304,0.31671897266873317,0,0,0,0.6621371365638017,3,0,-1,0.10825082508250827
ACHC,2026-02-12T05:00:00+00:00,0.58,0.3065679028107928,1,0,0,0.44660729279571665,3,0,-1,0.056639395846444174
ACN,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.14492753623188404
ACN,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.24462450454242513
ACN,2026-02-12T05:00:00+00:00,0.75,0.6090125815377752,1,0,0,0.6666666666666666,3,1,0,-0.030173Cannot perform start session: EOF
BABA,2025-11-21T05:00:00+00:00,0.25,0.25885888534734686,-1,0,1,0.35890459748458287,3,2,-1,0.009939187863728494
BABA,2026-01-22T05:00:00+00:00,0.3076923076923077,0.259694158943642,1,0,0,0.35435884842571924,3,0,-1,-0.128287617112541
BABA,2026-02-12T05:00:00+00:00,0.3076923076923077,0.260245866987045,1,0,0,0.3566493293759092,3,0,-1,-0.026964026964027
BAH,2025-11-21T05:00:00+00:00,0.5,0.52933322705752,1,0,1,0.45989939108671746,3,2,0,-0.04419410745233976
BAH,2026-01-22T05:00:00+00:00,0.5,0.5278737637815639,1,0,1,0.39667650766417756,3,2,0,-0.19371345029239773
BAH,2026-02-12T05:00:00+00:00,0.5,0.35640022131151344,1,0,0,0.6666666666666666,3,0,0,-0.00923906069549607
BAK,2025-11-21T05:00:00+00:00,0.462962962962963,0.307366547061971,0,0,0,0.71154261100463,3,1,-1,0.31418918918918926
BAK,2026-01-22T05:00:00+00:00,0.4642857142857143,0.30350611745266803,0,0,0,0.3535297662567454,3,0,-1,0.16467065868263475
BAK,2026-02-12T05:00:00+00:00,0.4655172413793104,0.29950398653283195,1,0,0,0.4647294890679816,3,0,-1,0.04289544235924936
BAX,2025-11-21T05:00:00+00:00,0.375,0.35666538107449836,0,0,0,0.3509551761553538,3,0,0,0.17859093391589287
BAX,2026-01-22T05:00:00+00:00,0.375,0.3554250306694797,0,0,0,0.340852018483258,3,0,0,0.07523667164922765
BAX,2026-02-12T05:00:00+00:00,0.3888888888888889,0.3380952591113205,1,0,0,0.5098559694684618,3,0,0,0.15339390700160327
BCAL,2025-11-21T05:00:00+00:00,0.75,0.6503511047589254,1,0,0,0.6666666666666666,3,1,0,0.005302226935312904
BCAL,2026-01-22T05:00:00+00:00,0.75,0.6540950454187506,1,0,0,0.6666666666666666,3,1,0,0.0031746031746033854
BCAL,2026-02-12T05:00:00+00:00,0.75,0.6548938232342458,1,0,0,0.6666666666666666,3,1,0,0.0026441036488631386
BDN,2025-11-21T05:00:00+00:00,0.4375,0.3094330361406789,-1,0,1,0.34052929006789623,3,2,0,-0.06936416184971095
BDN,2026-01-22T05:00:00+00:00,0.5,0.3147744476238693,1,0,0,0.3395045874754942,3,0,0,0.06270627062706291
BDN,2026-02-12T05:00:00+00:00,0.5,0.3168479640990567,1,0,0,0.33841935020189956,3,0,0,0.06270627062706291
BEAM,2025-11-21T05:00:00+00:00,0.35326086956521735,0.2790845798306754,1,0,1,0.35364304482460635,3,2,-1,0.2422332282755515
BEAM,2026-01-22T05:00:00+00:00,0.34210526315789475,0.27940307956589316,-1,0,1,0.6585973413277919,3,2,-1,-0.194687682428488
BEAM,2026-02-12T05:00:00+00:00,0.34020618556701027,0.2778904518258783,1,0,0,0.35426370453684186,3,0,-1,0.024507983661344213
BFH,2025-11-21T05:00:00+00:00,0.6111111111111112,0.28912516294101365,-1,0,1,0.4833210188218337,3,2,0,0.17047913446676977
BFH,2026-01-22T05:00:00+00:00,0.5,0.2961784470714195,-1,0,1,0.48476537281647103,3,2,0,0.06646951133643153
BFH,2026-02-12T05:00:00+00:00,0.5555555555555556,0.29891419210189674,1,0,0,0.48409846682915003,3,0,0,0.04787602047876027
BG,2025-11-21T05:00:00+00:00,0.6666666666666667,0.5941975785372258,1,0,0,0.6666666666666666,3,0,0,0.28938464791710716
BG,2026-01-22T05:00:00+00:00,0.6666666666666667,0.5960114303069851,1,0,0,0.6666666666666666,3,0,0,0.08246050062133858
BG,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5980812575960576,1,0,0,0.6666666666666666,3,0,0,0.0017249876786595841
BH,2025-11-21T05:00:00+00:00,0.625,0.30084011480127654,0,0,0,0.4156892413619476,3,0,0,0.37919119980255966
BH,2026-01-22T05:00:00+00:00,0.625,0.3013647086201534,0,0,0,0.3513970050899944,3,0,0,-0.16701092395817807
BH,2026-02-12T05:00:00+00:00,0.6111111111111112,0.29209342515934666,1,0,0,0.3757401110965989,3,0,0,-0.01873824156528281
BH.A,2025-11-21T05:00:00+00:00,0.625,0.3127945161511909,0,0,0,0.3348923678516371,3,0,0,0.45726095498299446
