symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
ABR,2026-02-12T05:00:00+00:00,0.3888888888888889,0.2808873046549252,1,0,1,0.3460916272065796,3,2,0,0.0040431266846361336
ABVX,2026-02-12T05:00:00+00:00,0.4166666666666667,0.2905252182013856,1,0,0,0.33586443254491055,3,0,0,0.046651678175686495
ACHC,2026-02-12T05:00:00+00:00,0.58,0.3065679028107928,1,0,0,0.44660729279571665,3,0,-1,0.056639395846444174
ACMR,2026-02-12T05:00:00+00:00,0.3411214953271028,0.2938779546859635,1,0,1,0.38392982695719113,3,2,-1,0.038845553822153045
ACN,2026-02-12T05:00:00+00:00,0.75,0.6090125815377752,1,0,0,0.6666666666666666,3,1,0,-0.030173384372889078
ACNB,2026-02-12T05:00:00+00:00,0.4285714285714286,0.32723546592786806,1,0,0,0.3509188689303752,3,0,0,-0.009560229445506718
ADBE,2026-02-12T05:00:00+00:00,0.4444444444444445,0.31905881787341106,1,0,0,0.33963460702511206,3,0,0,-0.01481904761904762
ADPT,2026-02-12T05:00:00+00:00,0.305,0.24252928471342985,1,0,1,0.34363003594183394,3,2,-1,-0.02187902187902191
ADSE,2026-02-12T05:00:00+00:00,0.3454545454545454,0.3009449631499607,1,0,1,0.34631376615887566,3,2,-1,0.0412757973733584
ADT,2026-02-12T05:00:00+00:00,0.37499999999999994,0.325558594419729,1,0,0,0.33748213049791403,3,0,0,0.035340314136125706
AEM,2026-02-12T05:00:00+00:00,0.5,0.5168043836979397,1,0,1,0.6666666666666666,3,2,0,0.11232396082062279
AGI,2026-02-12T05:00:00+00:00,0.625,0.29051710575073963,1,0,0,0.39607963005156976,3,0,0,0.13391799004503446
AGM.A,2026-02-06T05:00:00+00:00,0.3,0.26627943791520814,1,0,0,0.3484121569963346,3,0,0,-0.06606299212598421
AGMpF,2026-02-12T05:00:00+00:00,0.39999999999999997,0.3997301526620623,1,0,0,0.33790322705990805,3,0,0,0.00608210846426771
AIZ,2026-02-12T05:00:00+00:00,0.5,0.5265304141693206,1,0,0,0.36495770180644044,3,0,0,0.045831779186870536
AKAM,2026-02-12T05:00:00+00:00,0.55,0.2972936532397205,1,0,1,0.34655951704591154,3,2,0,-0.09979925437338688
ALF,2026-02-10T05:00:00+00:00,0.3027522935779816,0.25145383734499693,1,0,1,0.4133520366662339,3,2,-1,0.002803738317757043
ALGM,2026-02-12T05:00:00+00:00,0.4230769230769231,0.2777804813493105,1,0,0,0.344985507443253,3,0,0,-0.06932823332536453
ALNY,2026-02-12T05:00:00+00:00,0.5625,0.3159637352506023,1,0,1,0.34210814078058316,3,2,0,0.08982754149377592
ALRM,2026-02-12T05:00:00+00:00,0.6428571428571429,0.38304406862823864,1,0,0,0.33461383099924336,3,0,0,-0.0006576063130204757
ALX,2026-02-12T05:00:00+00:00,0.5,0.4892304559656046,1,0,1,0.6666666666666666,3,2,0,0.062225347161188216
AMKR,2026-02-12T05:00:00+00:00,0.32608695652173914,0.3084746457298312,1,0,1,0.33951056153275744,3,2,0,-0.07075014537701119
AMSF,2026-02-12T05:00:00+00:00,0.5,0.5566520855884171,1,0,1,0.475081390435577,3,2,0,-0.01749347258485623
AMTM,2026-02-12T05:00:00+00:00,0.4230769230769231,0.33023584085943014,1,0,1,0.6158151073615006,3,2,0,0.029930162953109463
ANAB,2026-02-12T05:00:00+00:00,0.336734693877551,0.2702819584383021,1,0,0,0.34789180010413484,3,0,-1,-0.012932604735883424
AON,2026-02-12T05:00:00+00:00,0.75,0.5934459802413099,1,0,0,0.6666666666666666,3,1,0,0.03364176921364748
APOG,2026-02-12T05:00:00+00:00,0.45454545454545453,0.29043930376192617,1,0,0,0.3428932271941493,3,0,0,-0.00869145340415256
ARAY,2026-02-12T05:00:00+00:00,0.3404255319148936,0.27343769117123345,1,0,1,0.4029433857095768,3,2,-1,-0.002608533631451415
ARCO,2026-02-12T05:00:00+00:00,0.375,0.5494479217787429,1,0,1,0.6666666666666666,3,2,0,0.11471321695760595
ARLP,2026-02-12T05:00:00+00:00,0.35714285714285715,0.47065443986747024,1,0,1,0.6666666666666666,3,2,0,0.035502958579881616
ARMN,2026-02-10T05:00:00+00:00,0.3888888888888889,0.3263031560158469,1,0,1,0.3758298068881839,3,2,0,-0.011351909184726505
ARTNA,2026-02-12T05:00:00+00:00,0.5,0.587667071712175,1,0,0,0.6289738643332032,3,0,0,0.0033102618116163107
ARW,2026-02-12T05:00:00+00:00,0.6000000000000001,0.4105463371454959,1,0,0,0.6666666666666666,3,1,0,0.008930866101259483
AS,2026-02-12T05:00:00+00:00,0.6666666666666666,0.3454749690283584,1,0,0,0.34428105355683164,3,0,0,0.08930425752855653
