Date,Open,High,Low,Close,Volume
2023-12-02,38690,39740,38634,39478.95,12361
2023-12-03,39467.42,40221.22,39253,39984.81,10699
2023-12-04,39975.1,42415.5,39476,41987.24,32400
2023-12-05,41983,45000,40849,44084.39,34916
2023-12-06,44086.33,44297,43335.5,43761.7,24660
2023-12-07,43809,44091,42846.53,43280.95,18639
2023-12-08,43288.1,44754.99,43086,44192.87,19135
2023-12-09,44192.86,44384.68,43586.14,43723.25,8473
2023-12-10,43722.84,44066,43562.06,43793.68,6232
2023-12-11,43793.67,43842,39999,41229.61,35445
2023-12-12,41236.9,42300,40636.51,41477.39,18143
2023-12-13,41477.6,43475,40553.15,42885.54,20914
2023-12-14,42889.1,43470,41359,43027.77,20503
2023-12-15,43027.77,43106,41640.51,41933.89,14295
2023-12-16,41934.84,42746,41626.66,42237.29,7450
2023-12-17,42235.23,42448,41222,41349.59,10630
2023-12-18,41349.59,42773,40508,42650.01,18252
2023-12-19,42644.7,43529,41780,42266.22,17413
2023-12-20,42267.1,44363,42184.48,43674.77,25467
2023-12-21,43630,44250,43295.78,43875.32,16951
2023-12-22,43875.56,44444,43412.82,44013.73,14334
2023-12-23,43997,44068,43314,43726.35,5872
2023-12-24,43728.36,43985.67,42614.17,43025.03,7990
2023-12-25,43014.9,43881,42755.35,43589.67,7350
2023-12-26,43604.1,43649,41600.67,42515.53,18140
2023-12-27,42519.1,43709.98,42111.47,43474.4,16064
2023-12-28,43469.06,43830.34,42265.08,42581.23,17412
2023-12-29,42581.23,43175,41300,42063.45,21003
2023-12-30,42097.9,42665,41518.19,42141.03,13585
2023-12-31,42139.32,42939,41964.68,42288.06,13553
2024-01-01,42241.1,44240.8,42175.65,44220.78,11571
2024-01-02,44180.8,45925.82,44113.2,44972.8,39113
2024-01-03,44972.81,45559,39501,42862.44,43428
2024-01-04,42860.58,44810,42650,44193.29,23483
2024-01-05,44198.35,44449,42413,44186.59,23295
2024-01-06,44179.9,44263,43436.5,44018,7422
2024-01-07,43960,44510.01,43627,43959,8044
2024-01-08,43954.52,47330,43200.44,46995.1,37061
2024-01-09,46989.5,47988,44500,46124.08,38524
2024-01-10,46120.79,47732.5,44268,46666.11,49773
2024-01-11,46654,49102.29,45555.55,46350.4,50944
2024-01-12,46350.4,46522.2,41444.97,42773.03,59970
2024-01-13,42775.1,43250,42427,42839.33,13737
2024-01-14,42827.9,43075,41680.73,41697.33,11736
2024-01-15,41698.13,43369,41680,42520,14184
2024-01-16,42499.3,43588,42028.02,43130.45,21236
2024-01-17,43130.35,43215,42160,42739.49,19248
2024-01-18,42737.68,42932,40600.05,41293.5,29890
2024-01-19,41290.57,42212,40236.49,41624.07,27855
2024-01-20,41623.94,41944,40000,41666.67,7096
2024-01-21,41666.67,42260,41472.49,41554.05,5268
2024-01-22,41670,41775,39372.44,39524.27,33767
2024-01-23,39510,40215,38501,39878.3,28114
2024-01-24,39878.28,40599,39382.15,40069.8,21769
2024-01-25,40079.87,40333,39503,39941.66,16735
2024-01-26,39941.66,42243.14,39805.95,41814.8,25444
2024-01-27,41814.96,42204,41383.94,42126.55,5516
2024-01-28,42126.55,42839.07,41617.53,42034.59,6906
2024-01-29,42025,43333,41787.35,43269.5,15637
2024-01-30,43272.7,43872.99,42680.2,42942.78,19919
2024-01-31,42955,43742.3,42265.77,42548.08,19446
