symbol,side,entry_time,exit_time,entry_price,exit_price,forward_return,holding_bars,entry_regime,exit_regime,entry_S_UF,exit_S_UF,entry_D,exit_D
A,LONG,2025-04-10T04:00:00+00:00,2025-12-12T05:00:00+00:00,99.950000,139.680000,0.39749875,170,TRANSITIONAL,TRANSITIONAL,0.750000,0.750000,1.000000,1.000000
AAPL,LONG,2025-04-09T04:00:00+00:00,2025-04-10T04:00:00+00:00,198.850000,190.420000,-0.04239376,1,TRANSITIONAL,TRANSITIONAL,0.750000,0.500000,1.000000,-1.000000
AAPL,SHORT,2025-04-11T04:00:00+00:00,2025-12-12T05:00:00+00:00,198.150000,278.280000,0.40439061,169,TRANSITIONAL,TRANSITIONAL,0.500000,0.500000,-1.000000,-1.000000
ABBV,LONG,2024-11-12T05:00:00+00:00,2025-12-12T05:00:00+00:00,171.090000,223.320000,0.30527792,271,TRANSITIONAL,TRANSITIONAL,0.750000,0.750000,1.000000,1.000000
ABNB,LONG,2021-01-21T05:00:00+00:00,2021-01-22T05:00:00+00:00,180.400000,181.870000,0.00814856,1,TRANSITIONAL,TRANSITIONAL,0.750000,0.500000,1.000000,-1.000000
ABNB,SHORT,2021-01-25T05:00:00+00:00,2021-02-25T05:00:00+00:00,177.530000,182.060000,0.02551681,22,TRANSITIONAL,TRANSITIONAL,0.500000,0.375000,-1.000000,1.000000
ABNB,SHORT,2021-02-26T05:00:00+00:00,2021-04-08T04:00:00+00:00,206.350000,180.180000,-0.12682336,28,TRANSITIONAL,TRANSITIONAL,0.500000,0.250000,-1.000000,1.000000
ABNB,SHORT,2022-03-28T04:00:00+00:00,2022-03-30T04:00:00+00:00,167.650000,173.630000,0.03566955,2,TRANSITIONAL,TRANSITIONAL,0.333333,0.166667,-1.000000,-1.000000
ABNB,SHORT,2022-12-21T05:00:00+00:00,2022-12-27T05:00:00+00:00,87.070000,83.490000,-0.04111634,3,TRANSITIONAL,TRANSITIONAL,0.321429,0.214286,-1.000000,-1.000000
ABNB,LONG,2023-02-16T05:00:00+00:00,2023-02-17T05:00:00+00:00,139.420000,131.600000,-0.05608951,1,TRANSITIONAL,TRANSITIONAL,0.300000,0.200000,1.000000,1.000000
ABNB,LONG,2024-07-01T04:00:00+00:00,2024-07-09T04:00:00+00:00,151.630000,152.450000,0.00540790,5,TRANSITIONAL,TRANSITIONAL,0.312500,0.281250,1.000000,1.000000
ABNB,LONG,2024-08-05T04:00:00+00:00,2024-08-07T04:00:00+00:00,125.310000,113.010000,-0.09815657,2,TRANSITIONAL,TRANSITIONAL,0.343750,0.205882,1.000000,-1.000000
ABNB,LONG,2025-10-13T04:00:00+00:00,2025-10-23T04:00:00+00:00,118.860000,127.350000,0.07142857,8,TRANSITIONAL,TRANSITIONAL,0.309524,0.285714,1.000000,1.000000
ABT,LONG,2021-06-02T04:00:00+00:00,2025-07-18T04:00:00+00:00,106.900000,123.670000,0.15687558,1036,TRANSITIONAL,TRANSITIONAL,0.750000,0.500000,1.000000,-1.000000
ABT,SHORT,2025-07-21T04:00:00+00:00,2025-12-12T05:00:00+00:00,124.420000,125.460000,0.00835878,102,TRANSITIONAL,TRANSITIONAL,0.500000,0.500000,-1.000000,-1.000000
ADBE,LONG,2021-12-17T05:00:00+00:00,2022-07-01T04:00:00+00:00,556.640000,368.480000,-0.33802817,134,TRANSITIONAL,TRANSITIONAL,0.750000,0.500000,1.000000,-1.000000
ADBE,SHORT,2022-07-05T04:00:00+00:00,2022-09-15T04:00:00+00:00,376.490000,309.130000,-0.17891577,51,TRANSITIONAL,TRANSITIONAL,0.500000,0.500000,-1.000000,1.000000
ADBE,SHORT,2022-09-16T04:00:00+00:00,2024-06-17T04:00:00+00:00,299.500000,518.740000,0.73202003,439,TRANSITIONAL,TRANSITIONAL,0.400000,0.357143,-1.000000,1.000000
ADBE,LONG,2024-06-18T04:00:00+00:00,2024-08-02T04:00:00+00:00,522.250000,526.170000,0.00750598,31,TRANSITIONAL,TRANSITIONAL,0.357143,0.285714,1.000000,1.000000
ADBE,SHORT,2024-09-20T04:00:00+00:00,2024-12-13T05:00:00+00:00,522.300000,465.690000,-0.10838599,59,TRANSITIONAL,TRANSITIONAL,0.357143,0.375000,-1.000000,1.000000
ADBE,LONG,2024-12-16T05:00:00+00:00,2025-06-09T04:00:00+00:00,461.530000,416.260000,-0.09808680,118,TRANSITIONAL,TRANSITIONAL,0.375000,0.444444,1.000000,0.000000
ADBE,SHORT,2025-06-10T04:00:00+00:00,2025-08-18T04:00:00+00:00,416.060000,357.240000,-0.14137384,47,TRANSITIONAL,TRANSITIONAL,0.333333,0.277778,-1.000000,-1.000000
ADI,LONG,2024-05-23T04:00:00+00:00,2025-04-09T04:00:00+00:00,234.560000,196.630000,-0.16170703,219,TRANSITIONAL,TRANSITIONAL,0.750000,0.375000,1.000000,-1.000000
ADI,SHORT,2025-04-10T04:00:00+00:00,2025-12-12T05:00:00+00:00,178.360000,279.320000,0.56604620,170,TRANSITIONAL,TRANSITIONAL,0.400000,0.400000,-1.000000,-1.000000
ADM,SHORT,2024-01-22T05:00:00+00:00,2025-12-12T05:00:00+00:00,51.690000,60.010000,0.16095957,476,TRANSITIONAL,TRANSITIONAL,0.833333,0.833333,-1.000000,-1.000000
ADSK,LONG,2021-08-27T04:00:00+00:00,2022-02-15T05:00:00+00:00,315.640000,233.380000,-0.26061336,118,TRANSITIONAL,TRANSITIONAL,0.750000,0.666667,1.000000,-1.000000
ADSK,SHORT,2022-02-16T05:00:00+00:00,2022-05-31T04:00:00+00:00,233.740000,207.750000,-0.11119192,71,TRANSITIONAL,TRANSITIONAL,0.666667,0.500000,-1.000000,1.000000
ADSK,LONG,2022-06-01T04:00:00+00:00,2022-11-10T05:00:00+00:00,207.380000,222.960000,0.07512778,113,TRANSITIONAL,TRANSITIONAL,0.500000,0.500000,1.000000,-1.000000
ADSK,LONG,2022-11-11T05:00:00+00:00,2023-06-05T04:00:00+00:00,228.800000,208.430000,-0.08902972,139,TRANSITIONAL,TRANSITIONAL,0.500000,0.416667,1.000000,-1.000000
ADSK,SHORT,2023-06-06T04:00:00+00:00,2023-10-27T04:00:00+00:00,208.010000,195.150000,-0.06182395,100,TRANSITIONAL,TRANSITIONAL,0.416667,0.416667,-1.000000,1.000000
ADSK,LONG,2023-10-30T04:00:00+00:00,2025-04-10T04:00:00+00:00,197.790000,256.920000,0.29895344,362,TRANSITIONAL,TRANSITIONAL,0.416667,0.357143,1.000000,-1.000000
ADSK,SHORT,2025-04-11T04:00:00+00:00,2025-12-12T05:00:00+00:00,258.450000,297.640000,0.15163475,169,TRANSITIONAL,TRANSITIONAL,0.357143,0.357143,-1.000000,-1.000000
AES,LONG,2021-01-28T05:00:00+00:00,2024-07-16T04:00:00+00:00,24.550000,17.650000,-0.28105906,870,TRANSITIONAL,TRANSITIONAL,0.750000,0.500000,1.000000,-1.000000
AES,SHORT,2024-07-17T04:00:00+00:00,2024-11-04T05:00:00+00:00,16.890000,15.230000,-0.09828301,77,TRANSITIONAL,TRANSITIONAL,0.500000,0.375000,-1.000000,1.000000
AES,LONG,2024-11-05T05:00:00+00:00,2025-02-14T05:00:00+00:00,15.510000,9.930000,-0.35976789,68,TRANSITIONAL,TRANSITIONAL,0.375000,0.625000,1.000000,0.000000
AES,SHORT,2025-02-20T05:00:00+00:00,2025-02-28T05:00:00+00:00,10.670000,11.590000,0.08622306,6,TRANSITIONAL,TRANSITIONAL,0.500000,0.400000,-1.000000,1.000000
AES,SHORT,2025-03-03T05:00:00+00:00,2025-04-10T04:00:00+00:00,11.190000,10.300000,-0.07953530,28,TRANSITIONAL,TRANSITIONAL,0.333333,0.285714,-1.000000,1.000000
