Ticker,Entry_Date,Exit_Date,Capital_Allocated,Entry_Price,Current_Price
CMDB,2026-04-07,2026-04-30,909.48,17.49,17.28
SMHX,2026-04-07,2026-04-30,882.03,38.35,50.78
PWR,2026-04-07,2026-04-30,554.42,554.42,727.77
ASR,2026-04-07,2026-04-30,679.66,339.83,305.84
BELFB,2026-04-07,2026-04-30,825.20,206.30,275.84
DORM,2026-04-07,2026-04-30,903.25,100.36,
PODD,2026-04-07,2026-04-30,803.96,200.99,174.30
WOR,2026-04-07,2026-04-30,881.79,51.87,54.27
KSPI,2026-04-07,2026-04-30,905.42,75.45,85.84
CHIQ,2026-04-07,2026-04-30,907.12,19.72,20.02
BIRK,2026-04-07,2026-04-30,914.90,35.19,38.74
LPLA,2026-04-07,2026-04-30,881.67,293.89,327.90
KBA,2026-04-07,2026-04-30,895.50,29.85,33.52
WCC,2026-04-07,2026-04-30,836.52,278.84,349.12
BOH,2026-04-07,2026-04-30,914.88,76.24,79.51
SXC,2026-04-07,2026-04-30,913.06,6.43,
MED,2026-04-07,2026-04-30,911.76,10.48,10.87
NBIX,2026-04-07,2026-04-30,793.92,132.32,134.30
BELFA,2026-04-07,2026-04-30,780.84,195.21,
SOHU,2026-04-07,2026-04-30,908.60,15.40,15.40
TSMZ,2026-04-07,2026-04-30,915.20,10.40,8.92
FTDR,2026-04-07,2026-04-30,892.48,55.78,67.84
UNHG,2026-04-07,2026-04-30,902.56,12.89,
COPP,2026-04-07,2026-04-30,907.07,36.28,37.31
BDX,2026-04-07,2026-04-30,775.38,155.08,149.04
TXBC,2026-04-07,2026-04-30,905.85,14.85,
CARL,2026-04-07,2026-04-30,909.92,9.68,
REGN,2026-04-07,2026-04-30,759.10,759.10,709.52
MSBI,2026-04-07,2026-04-30,906.36,23.24,26.14
RRX,2026-04-07,2026-04-30,741.00,185.25,215.03
SONO,2026-04-07,2026-04-30,910.53,13.59,15.04
VIRT,2026-04-07,2026-04-30,900.48,47.39,
CRTO,2026-04-07,2026-04-30,913.36,18.64,18.94
ASR,2026-04-08,2026-04-30,719.48,359.74,305.84
BELFB,2026-04-08,2026-04-30,683.37,227.79,275.84
BOH,2026-04-08,2026-04-30,863.61,78.51,79.51
CRTO,2026-04-08,2026-04-30,901.44,18.78,18.94
EQPT,2026-04-08,2026-04-30,908.16,20.64,
LPLA,2026-04-08,2026-04-30,619.84,309.92,327.90
MSBI,2026-04-08,2026-04-30,890.96,24.08,26.14
PWR,2026-04-08,2026-04-30,576.58,576.58,727.77
TSMZ,2026-04-08,2026-04-30,907.10,9.65,8.92
VIRT,2026-04-08,2026-04-30,871.56,48.42,
MED,2026-04-08,2026-04-30,886.53,10.19,10.87
REGN,2026-04-08,2026-04-30,774.59,774.59,709.52
BIRK,2026-04-08,2026-04-30,969.54,37.29,38.74
ARDT,2026-04-08,2026-04-30,957.78,9.39,9.76
ARW,2026-04-08,2026-04-30,927.66,154.61,187.83
BELFA,2026-04-08,2026-04-30,851.92,212.98,
BHM,2026-04-08,2026-04-30,962.80,11.60,
BKV,2026-04-08,2026-04-30,866.56,27.08,
CARL,2026-04-08,2026-04-30,976.66,10.39,
CMDB,2026-04-08,2026-04-30,178.40,17.84,17.28
COPP,2026-04-08,2026-04-30,978.50,39.14,37.31
CRD.A,2026-04-08,2026-04-30,930.16,10.57,
DINO,2026-04-08,2026-04-30,807.10,57.65,67.21
KSPI,2026-04-08,2026-04-30,930.36,77.53,85.84
MSCI,2026-04-08,2026-04-30,562.01,562.01,591.41
NBIX,2026-04-08,2026-04-30,793.08,132.18,134.30
PBFS,2026-04-08,2026-04-30,129.33,14.37,
SOHU,2026-04-08,2026-04-30,893.85,15.15,15.40
SONO,2026-04-08,2026-04-30,900.48,13.44,15.04
USCB,2026-04-08,2026-04-30,776.49,19.91,18.24
ARDT,2026-04-08,2026-04-30,898.61,9.36,9.76
ARW,2026-04-08,2026-04-30,771.60,154.32,187.83
BIRK,2026-04-08,2026-04-30,895.20,37.30,38.74
CMDB,2026-04-08,2026-04-30,891.50,17.83,17.28
COPP,2026-04-08,2026-04-30,885.50,38.50,37.31
DINO,2026-04-08,2026-04-30,864.30,57.62,67.21
KSPI,2026-04-08,2026-04-30,851.40,77.40,85.84
MED,2026-04-08,2026-04-30,896.72,10.19,10.87
MSCI,2026-04-08,2026-04-30,561.63,561.63,591.41
NBIX,2026-04-08,2026-04-30,792.18,132.03,134.30
REGN,2026-04-08,2026-04-30,773.98,773.98,709.52
SOHU,2026-04-08,2026-04-30,906.33,15.11,15.40
SONO,2026-04-08,2026-04-30,900.48,13.44,15.04
USCB,2026-04-08,2026-04-30,890.55,19.79,18.24
APHU,2026-04-09,2026-04-30,900.68,20.47,
ASR,2026-04-09,2026-04-30,713.80,356.90,305.84
BDX,2026-04-09,2026-04-30,780.60,156.12,149.04
BELFB,2026-04-09,2026-04-30,705.66,235.22,275.84
BIRK,2026-04-09,2026-04-30,891.71,38.77,38.74
BKV,2026-04-09,2026-04-30,880.96,27.53,
BOH,2026-04-09,2026-04-30,879.01,79.91,79.51
CHIQ,2026-04-09,2026-04-30,890.12,20.23,20.02
CMDB,2026-04-09,2026-04-30,898.11,17.61,17.28
COPP,2026-04-09,2026-04-30,898.61,39.07,37.31
CRTO,2026-04-09,2026-04-30,904.50,18.09,18.94
DINO,2026-04-09,2026-04-30,899.20,56.20,67.21
EQPT,2026-04-09,2026-04-30,903.32,20.53,
FTDR,2026-04-09,2026-04-30,871.30,58.09,67.84
HTBK,2026-04-09,2026-04-30,901.15,13.45,13.45
IMAX,2026-04-09,2026-04-30,873.08,37.96,38.02
KBA,2026-04-09,2026-04-30,899.87,31.03,33.52
LPLA,2026-04-09,2026-04-30,631.20,315.60,327.90
MED,2026-04-09,2026-04-30,898.48,10.21,10.87
MSBI,2026-04-09,2026-04-30,887.40,24.65,26.14
MSCI,2026-04-09,2026-04-30,545.59,545.59,591.41
PWR,2026-04-09,2026-04-30,584.91,584.91,727.77
REGN,2026-04-09,2026-04-30,768.29,768.29,709.52
RRX,2026-04-09,2026-04-30,832.92,208.23,215.03
