trade_idx,ticker,entry_date,bar_count_at_entry,spy_dk_at_entry,species_classification,W1,W2,W3,cohort,days_held,pnl_pct,exit_reason
0,AM,2021-06-14,303,0,,False,False,False,noW3,1,0.0,exit_a_not_accumulate
1,PKBK,2021-06-14,303,0,,False,False,False,noW3,1,0.0,exit_a_not_accumulate
2,RLGT,2021-06-14,303,0,,False,False,False,noW3,1,0.00267,exit_a_not_accumulate
3,NTIC,2021-06-14,303,0,,False,False,False,noW3,2,0.000579,exit_a_not_accumulate
4,RC,2021-06-15,304,0,,False,False,False,noW3,1,0.011823,exit_a_not_accumulate
5,AUB,2021-06-15,304,0,,False,False,False,noW3,1,0.013399,exit_a_not_accumulate
6,KGC,2021-06-14,303,0,,False,False,False,noW3,3,-0.136951,exit_f_catastrophic
7,ROAD,2021-06-14,303,0,,False,False,False,noW3,4,-0.138708,exit_f_catastrophic
8,PAGP,2021-06-14,303,0,,False,False,False,noW3,4,-0.111455,exit_f_catastrophic
9,PAA,2021-06-14,303,0,,False,False,False,noW3,4,-0.106245,exit_f_catastrophic
10,GEL,2021-06-14,303,0,,False,False,False,noW3,4,-0.128433,exit_f_catastrophic
11,EXTR,2021-06-14,303,0,,False,False,False,noW3,7,-0.055752,exit_a_not_accumulate
12,COFS,2021-06-14,303,0,,False,False,False,noW3,7,-0.016136,exit_a_not_accumulate
13,AAL,2021-06-14,303,0,,False,False,False,noW3,7,-0.022638,exit_a_not_accumulate
14,ROAD,2021-06-18,307,0,,False,False,False,noW3,3,0.033956,exit_a_not_accumulate
15,ESCA,2021-06-14,303,0,,False,False,False,noW3,8,-0.015241,exit_a_not_accumulate
16,GPMT,2021-06-14,303,0,,False,False,False,noW3,8,0.013236,exit_a_not_accumulate
17,MTW,2021-06-14,303,0,,False,False,False,noW3,8,-0.048089,exit_a_not_accumulate
18,DAIO,2021-06-16,305,0,,False,False,False,noW3,6,0.011765,exit_a_not_accumulate
19,DXC,2021-06-21,308,0,,False,False,False,noW3,1,0.010681,exit_a_not_accumulate
20,CBAN,2021-06-14,303,0,,False,False,False,noW3,10,0.004505,exit_a_not_accumulate
21,DXC,2021-06-23,310,0,,False,False,False,noW3,1,0.009235,exit_a_not_accumulate
22,GPMT,2021-06-23,310,0,,False,False,False,noW3,1,0.005229,exit_a_not_accumulate
23,DRN,2021-06-23,310,0,,False,False,False,noW3,2,0.00316,exit_a_not_accumulate
24,FLXS,2021-06-14,303,0,,False,False,False,noW3,14,-0.11606,exit_f_catastrophic
25,SMPL,2021-06-25,312,0,,False,False,False,noW3,3,0.027887,exit_a_not_accumulate
26,NMRK,2021-06-14,303,0,,False,False,False,noW3,15,-0.069498,exit_a_not_accumulate
27,LOMA,2021-06-16,305,0,,False,False,False,noW3,13,-0.042254,exit_a_not_accumulate
28,RDI,2021-06-22,309,0,,False,False,False,noW3,7,0.020849,exit_a_not_accumulate
29,ANDE,2021-06-14,303,0,,False,False,False,noW3,16,-0.062634,exit_a_not_accumulate
30,OI,2021-06-23,310,0,,False,False,False,noW3,7,-0.010303,exit_a_not_accumulate
31,CHAU,2021-06-14,303,0,,False,False,False,noW3,17,-0.015972,exit_a_not_accumulate
32,DLTH,2021-06-16,305,0,,False,False,False,noW3,15,0.136732,exit_a_not_accumulate
33,EQBK,2021-06-29,314,0,,False,False,False,noW3,2,0.003562,exit_a_not_accumulate
34,PBYI,2021-06-21,308,0,,False,False,False,noW3,15,-0.109519,exit_f_catastrophic
35,OII,2021-06-23,310,0,,False,False,False,noW3,13,-0.102246,exit_f_catastrophic
36,PBT,2021-06-15,304,0,,False,False,False,noW3,22,0.01938,exit_a_not_accumulate
37,KGC,2021-06-21,308,0,,False,False,False,noW3,16,0.022152,exit_a_not_accumulate
