ticker,target_date,bar_count,frame_a_s_n,frame_b_s_n,abs_diff,both_in_w1_band,only_a,only_b,band_label
WILC,2020-04-03,2,0.9560058062903534,0.5471453488095068,0.40886045748084654,False,True,False,only_A_in_band
NYT,2020-04-03,2,0.944873229106895,0.538649481917085,0.40622374718981,False,False,False,neither_in_band
BSEP,2020-04-15,8,0.7900825468600521,0.6079262804331267,0.1821562664269254,False,False,False,neither_in_band
AIHS,2020-04-20,12,0.8831881872452093,0.9010245617032202,0.017836374458010895,False,False,False,neither_in_band
ACNB,2020-04-30,20,0.9680670869588643,1.0004104249352328,0.03234333797636846,False,True,False,only_A_in_band
RINF,2020-04-03,2,0.9632383368135041,0.5424549635391549,0.4207833732743492,False,True,False,only_A_in_band
BLBD,2020-04-03,2,0.950039144323605,0.5562350612412099,0.3938040830823951,False,False,False,neither_in_band
TCI,2020-04-13,7,0.832491628359496,0.8390525203379411,0.006560891978445116,False,False,False,neither_in_band
HWCPZ,2020-06-24,2,0.9616131177713273,1.0799185174552226,0.11830539968389531,False,True,False,only_A_in_band
BTG,2020-04-03,2,0.9649011048442211,0.5568644636641585,0.40803664118006255,False,True,False,only_A_in_band
CSX,2020-04-03,2,0.9649826452922075,0.5383244459564891,0.42665819933571836,False,True,False,only_A_in_band
INDL,2020-04-14,8,0.7300732759585729,0.813317589956719,0.08324431399814614,False,False,False,neither_in_band
ADPT,2020-04-30,20,1.042679264575802,0.9832751075597461,0.05940415701605595,False,False,False,neither_in_band
CBSH,2020-04-22,14,0.8808151714736218,0.8983429281453705,0.017527756671748773,False,False,False,neither_in_band
STRS,2020-04-03,2,0.9416382366547061,0.5253000944318856,0.4163381422228205,False,False,False,neither_in_band
BSRR,2020-04-15,9,0.7618981246324239,0.9336513436812242,0.17175321904880025,False,False,False,neither_in_band
USAI,2020-04-08,5,0.8962914456382014,1.1223558865051944,0.22606444086699296,False,False,False,neither_in_band
