date,spy_close,spy_R_k,spy_URF_k,spy_Hyst_k,spy_g_k,spy_D_k,spy_M_k,spy_B_k,spy_U_star_k
2021-04-01,400.61,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-05,406.36,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-06,406.12,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-07,406.59,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-08,408.52,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-09,411.49,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-12,411.64,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-13,412.86,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-14,411.45,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-15,415.87,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-16,417.26,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-19,415.21,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-20,412.17,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-21,416.07,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-22,412.27,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-23,416.74,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-26,417.61,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-27,417.52,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-28,417.4,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-29,420.06,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-04-30,417.3,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
2021-05-03,418.2,0.4666666666666666,0.4666666666666666,0,1,0.0,0.0,0.0,0.3333333333333333
