entry_date,exit_date,ticker,entry_px,exit_px,days_held,pnl_pct,exit_reason
2021-06-14,2021-06-15,AM,10.31,10.31,1,0.0,exit_a_not_accumulate
2021-06-14,2021-06-15,PKBK,20.35,20.35,1,0.0,exit_a_not_accumulate
2021-06-14,2021-06-15,RLGT,7.49,7.51,1,0.00267,exit_a_not_accumulate
2021-06-14,2021-06-16,NTIC,17.26,17.27,2,0.000579,exit_a_not_accumulate
2021-06-15,2021-06-16,RC,16.07,16.26,1,0.011823,exit_a_not_accumulate
2021-06-15,2021-06-16,AUB,38.81,39.33,1,0.013399,exit_a_not_accumulate
2021-06-14,2021-06-17,KGC,7.74,6.68,3,-0.136951,exit_f_catastrophic
2021-06-14,2021-06-18,ROAD,33.74,29.06,4,-0.138708,exit_f_catastrophic
2021-06-14,2021-06-18,PAGP,12.92,11.48,4,-0.111455,exit_f_catastrophic
2021-06-14,2021-06-18,PAA,12.33,11.02,4,-0.106245,exit_f_catastrophic
2021-06-14,2021-06-18,GEL,12.38,10.79,4,-0.128433,exit_f_catastrophic
2021-06-14,2021-06-21,EXTR,11.3,10.67,7,-0.055752,exit_a_not_accumulate
2021-06-14,2021-06-21,COFS,24.79,24.39,7,-0.016136,exit_a_not_accumulate
2021-06-14,2021-06-21,AAL,22.97,22.45,7,-0.022638,exit_a_not_accumulate
2021-06-18,2021-06-21,ROAD,29.45,30.45,3,0.033956,exit_a_not_accumulate
2021-06-14,2021-06-22,ESCA,23.62,23.26,8,-0.015241,exit_a_not_accumulate
2021-06-14,2021-06-22,GPMT,15.11,15.31,8,0.013236,exit_a_not_accumulate
2021-06-14,2021-06-22,MTW,24.33,23.16,8,-0.048089,exit_a_not_accumulate
2021-06-16,2021-06-22,DAIO,6.8,6.88,6,0.011765,exit_a_not_accumulate
2021-06-21,2021-06-22,DXC,37.45,37.85,1,0.010681,exit_a_not_accumulate
2021-06-14,2021-06-24,CBAN,17.76,17.84,10,0.004505,exit_a_not_accumulate
2021-06-23,2021-06-24,DXC,37.9,38.25,1,0.009235,exit_a_not_accumulate
2021-06-23,2021-06-24,GPMT,15.3,15.38,1,0.005229,exit_a_not_accumulate
2021-06-23,2021-06-25,DRN,22.15,22.22,2,0.00316,exit_a_not_accumulate
2021-06-14,2021-06-28,FLXS,46.7,41.28,14,-0.11606,exit_f_catastrophic
2021-06-25,2021-06-28,SMPL,35.5,36.49,3,0.027887,exit_a_not_accumulate
2021-06-14,2021-06-29,NMRK,12.95,12.05,15,-0.069498,exit_a_not_accumulate
2021-06-16,2021-06-29,LOMA,7.1,6.8,13,-0.042254,exit_a_not_accumulate
2021-06-22,2021-06-29,RDI,6.7199,6.86,7,0.020849,exit_a_not_accumulate
2021-06-14,2021-06-30,ANDE,32.57,30.53,16,-0.062634,exit_a_not_accumulate
2021-06-23,2021-06-30,OI,16.5,16.33,7,-0.010303,exit_a_not_accumulate
2021-06-14,2021-07-01,CHAU,43.2,42.51,17,-0.015972,exit_a_not_accumulate
2021-06-16,2021-07-01,DLTH,17.26,19.62,15,0.136732,exit_a_not_accumulate
2021-06-29,2021-07-01,EQBK,30.88,30.99,2,0.003562,exit_a_not_accumulate
2021-06-21,2021-07-06,PBYI,9.77,8.7,15,-0.109519,exit_f_catastrophic
2021-06-23,2021-07-06,OII,16.92,15.19,13,-0.102246,exit_f_catastrophic
2021-06-15,2021-07-07,PBT,5.16,5.26,22,0.01938,exit_a_not_accumulate
2021-06-21,2021-07-07,KGC,6.32,6.46,16,0.022152,exit_a_not_accumulate
2021-06-28,2021-07-07,DAIO,6.6489,5.91,9,-0.111131,exit_f_catastrophic
2021-06-28,2021-07-07,GAIA,11.73,10.44,9,-0.109974,exit_f_catastrophic
2021-07-06,2021-07-07,DLTH,19.02,19.48,1,0.024185,exit_a_not_accumulate
2021-06-14,2021-07-08,SLB,34.06,30.53,24,-0.103641,exit_f_catastrophic
2021-06-14,2021-07-08,ADT,11.57,10.35,24,-0.105445,exit_f_catastrophic
2021-06-18,2021-07-08,GEL,11.0,10.91,20,-0.008182,exit_a_not_accumulate
2021-06-24,2021-07-09,AAL,22.33,20.89,15,-0.064487,exit_a_not_accumulate
2021-07-02,2021-07-12,LOMA,6.77,7.3,10,0.078287,exit_a_not_accumulate
2021-06-30,2021-07-13,NTIC,17.5,20.17,13,0.152571,exit_a_not_accumulate
2021-07-06,2021-07-13,OII,15.07,14.85,7,-0.014599,exit_a_not_accumulate
2021-06-14,2021-07-14,BBVA,6.47,6.12,30,-0.054096,exit_a_not_accumulate
2021-06-14,2021-07-14,MD,31.88,28.13,30,-0.117629,exit_f_catastrophic
2021-06-30,2021-07-14,LMAT,61.13,54.52,14,-0.10813,exit_f_catastrophic
2021-07-08,2021-07-15,DBX,30.92,29.96,7,-0.031048,exit_a_not_accumulate
2021-07-09,2021-07-15,OVLY,17.15,17.19,6,0.002332,exit_a_not_accumulate
2021-07-09,2021-07-15,HWBK,21.0891,21.4497,6,0.017099,exit_a_not_accumulate
2021-06-24,2021-07-16,NOV,15.39,13.62,22,-0.11501,exit_f_catastrophic
2021-07-01,2021-07-16,TWIN,14.42,13.84,15,-0.040222,exit_a_not_accumulate
2021-07-08,2021-07-16,SLB,31.0,27.87,8,-0.100968,exit_f_catastrophic
2021-07-13,2021-07-16,CRK,6.43,5.68,3,-0.116641,exit_f_catastrophic
2021-06-18,2021-07-19,PAGP,11.65,10.05,31,-0.137339,exit_f_catastrophic
2021-06-18,2021-07-19,PAA,11.1,9.56,31,-0.138739,exit_f_catastrophic
2021-06-29,2021-07-19,DRH,9.56,8.49,20,-0.111925,exit_f_catastrophic
2021-07-16,2021-07-19,HP,27.43,27.84,3,0.014947,exit_a_not_accumulate
2021-06-14,2021-07-20,HCSG,31.84,30.72,36,-0.035176,exit_a_not_accumulate
2021-07-13,2021-07-20,DLTH,18.51,17.71,7,-0.04322,exit_a_not_accumulate
2021-07-19,2021-07-20,CRK,5.64,5.8,1,0.028369,exit_a_not_accumulate
2021-07-19,2021-07-20,DBX,29.94,30.5,1,0.018704,exit_a_not_accumulate
2021-06-14,2021-07-21,SCVL,33.555,33.92,37,0.010878,exit_a_not_accumulate
2021-06-14,2021-07-26,GIL,35.66,34.48,42,-0.03309,exit_a_not_accumulate
2021-07-22,2021-07-26,NAVI,20.38,20.52,4,0.006869,exit_a_not_accumulate
2021-07-22,2021-07-26,SPH,15.6,15.65,4,0.003205,exit_a_not_accumulate
2021-06-14,2021-07-27,VNDA,19.39,19.3,43,-0.004642,exit_a_not_accumulate
2021-07-08,2021-07-27,MBI,10.72,12.84,19,0.197761,exit_a_not_accumulate
2021-07-14,2021-07-27,IHRT,24.575,25.28,13,0.028688,exit_a_not_accumulate
2021-07-14,2021-07-27,OSUR,9.65,10.56,13,0.094301,exit_a_not_accumulate
2021-07-21,2021-07-27,ACTG,6.4137,5.67,6,-0.115955,exit_f_catastrophic
2021-07-06,2021-07-29,PPIH,7.2,7.0,23,-0.027778,exit_a_not_accumulate
2021-07-08,2021-07-29,ADT,10.48,10.59,21,0.010496,exit_a_not_accumulate
2021-07-22,2021-07-29,NOA,15.54,14.9,7,-0.041184,exit_a_not_accumulate
2021-07-07,2021-08-03,DAIO,5.84,6.5,27,0.113014,exit_a_not_accumulate
2021-07-28,2021-08-04,USAU,10.38,10.17,7,-0.020231,exit_a_not_accumulate
2021-08-02,2021-08-04,TWIN,14.58,15.7,2,0.076818,exit_a_not_accumulate
2021-08-03,2021-08-04,BHVN,118.34,123.36,1,0.04242,exit_a_not_accumulate
2021-08-03,2021-08-04,NEWT,24.6108,25.39,1,0.031661,exit_a_not_accumulate
2021-07-14,2021-08-05,LMAT,54.62,56.8,22,0.039912,exit_a_not_accumulate
2021-08-02,2021-08-05,XRAY,66.88,59.75,3,-0.106609,exit_f_catastrophic
2021-08-03,2021-08-05,NAVI,20.4,20.8,2,0.019608,exit_a_not_accumulate
2021-08-05,2021-08-06,XRAY,59.95,60.29,1,0.005671,exit_a_not_accumulate
2021-08-02,2021-08-09,VSTM,37.8,35.52,7,-0.060317,exit_a_not_accumulate
2021-06-14,2021-08-11,VREX,26.53,27.81,58,0.048247,exit_a_not_accumulate
2021-07-27,2021-08-11,ACTG,5.73,6.02,15,0.050611,exit_a_not_accumulate
2021-08-10,2021-08-11,HCSG,26.62,26.78,1,0.006011,exit_a_not_accumulate
2021-06-29,2021-08-12,RDVT,23.4,26.81,44,0.145726,exit_a_not_accumulate
2021-08-05,2021-08-12,DBX,32.58,32.23,7,-0.010743,exit_a_not_accumulate
2021-08-06,2021-08-13,LOOP,10.27,9.22,7,-0.10224,exit_f_catastrophic
2021-07-19,2021-08-16,PAA,9.64,9.73,28,0.009336,exit_a_not_accumulate
2021-07-19,2021-08-16,PAGP,10.13,10.21,28,0.007897,exit_a_not_accumulate
2021-08-11,2021-08-18,TWIN,14.795,13.6,7,-0.080771,exit_a_not_accumulate
2021-07-07,2021-08-19,GAIA,10.41,9.28,43,-0.108549,exit_f_catastrophic
2021-08-12,2021-08-19,NOA,14.01,13.08,7,-0.066381,exit_a_not_accumulate
2021-08-09,2021-08-20,ZUMZ,41.9,41.36,11,-0.012888,exit_a_not_accumulate
2021-08-17,2021-08-23,MD,32.49,33.44,6,0.02924,exit_a_not_accumulate
2021-08-09,2021-08-24,BHVN,113.68,125.45,15,0.103536,exit_a_not_accumulate
2021-08-12,2021-08-24,VALU,31.54,36.8,12,0.166772,exit_a_not_accumulate
2021-08-20,2021-08-24,BFST,23.66,23.94,4,0.011834,exit_a_not_accumulate
2021-06-14,2021-08-27,INDL,53.63,59.05,74,0.101063,exit_a_not_accumulate
2021-08-20,2021-08-27,DUG,292.4,263.0,7,-0.100547,exit_f_catastrophic
2021-08-23,2021-08-30,FCCO,20.59,20.4,7,-0.009228,exit_a_not_accumulate
2021-07-20,2021-08-31,PBT,5.03,5.23,42,0.039761,exit_a_not_accumulate
2021-08-12,2021-08-31,GOOS,37.72,38.37,19,0.017232,exit_a_not_accumulate
2021-08-24,2021-08-31,ZUMZ,43.7,40.19,7,-0.08032,exit_a_not_accumulate
2021-08-26,2021-08-31,III,6.99,7.23,5,0.034335,exit_a_not_accumulate
2021-08-20,2021-09-01,EXTR,10.8428,10.82,12,-0.002103,exit_a_not_accumulate
2021-08-27,2021-09-01,GDEN,53.0,46.93,5,-0.114528,exit_f_catastrophic
2021-08-13,2021-09-02,LOOP,9.07,10.39,20,0.145535,exit_a_not_accumulate
2021-08-17,2021-09-07,ARLP,8.04,9.2,21,0.144279,exit_a_not_accumulate
2021-09-01,2021-09-08,GOOS,40.14,37.94,7,-0.054808,exit_a_not_accumulate
2021-09-07,2021-09-08,CLMT,6.98,7.86,1,0.126074,exit_a_not_accumulate
2021-08-04,2021-09-10,TR,29.113,26.1888,37,-0.100443,exit_f_catastrophic
2021-08-26,2021-09-14,CLB,27.38,27.89,19,0.018627,exit_a_not_accumulate
2021-08-10,2021-09-17,MITT,10.55,10.5,38,-0.004739,exit_a_not_accumulate
2021-09-01,2021-09-17,RDVT,28.87,29.94,16,0.037063,exit_a_not_accumulate
2021-06-24,2021-09-20,FRBA,14.08,12.83,88,-0.088778,exit_a_not_accumulate
2021-09-20,2021-09-21,EQBK,31.3,31.79,1,0.015655,exit_a_not_accumulate
2021-07-16,2021-09-22,SLB,26.53,27.15,68,0.02337,exit_a_not_accumulate
2021-08-24,2021-09-22,DCOM,33.03,30.57,29,-0.074478,exit_a_not_accumulate
2021-09-08,2021-09-22,XOMA,25.66,24.42,14,-0.048324,exit_a_not_accumulate
2021-09-20,2021-09-22,TZOO,10.95,10.99,2,0.003653,exit_a_not_accumulate
2021-09-21,2021-09-23,LXU,7.5692,8.4615,2,0.117886,exit_a_not_accumulate
2021-08-27,2021-09-24,DUG,260.6,234.4,28,-0.100537,exit_f_catastrophic
2021-09-20,2021-09-27,BHVN,133.67,132.88,7,-0.00591,exit_a_not_accumulate
2021-09-24,2021-09-27,CVI,15.96,16.63,3,0.04198,exit_a_not_accumulate
2021-08-10,2021-09-29,USAU,10.06,10.1,50,0.003976,exit_a_not_accumulate
2021-08-16,2021-09-29,HBIO,81.5,70.0,44,-0.141104,exit_f_catastrophic
2021-09-28,2021-09-29,GOGO,16.69,16.78,1,0.005392,exit_a_not_accumulate
2021-09-28,2021-09-30,ANGO,23.51,25.94,2,0.10336,exit_a_not_accumulate
2021-08-23,2021-10-01,IGIC,9.26,8.15,39,-0.11987,exit_f_catastrophic
2021-09-29,2021-10-01,TZOO,11.66,12.25,2,0.0506,exit_a_not_accumulate
2021-09-27,2021-10-04,XOMA,24.88,23.4,7,-0.059486,exit_a_not_accumulate
2021-09-08,2021-10-06,ACI,31.99,28.38,28,-0.112848,exit_f_catastrophic
2021-09-16,2021-10-06,GWRS,19.83,19.17,20,-0.033283,exit_a_not_accumulate
2021-10-06,2021-10-07,TZOO,11.27,11.84,1,0.050577,exit_a_not_accumulate
2021-10-06,2021-10-08,MHH,17.23,17.3899,2,0.00928,exit_a_not_accumulate
2021-08-24,2021-10-12,LEGH,17.81,17.06,49,-0.042111,exit_a_not_accumulate
2021-09-09,2021-10-12,FVCB,15.928,16.224,33,0.018584,exit_a_not_accumulate
