date,equity,spy_equity,n_positions
2021-04-01,100000.0,100000.0,0
2021-04-05,100000.0,101435.31,0
2021-04-06,100000.0,101375.4,0
2021-04-07,100000.0,101492.72,0
2021-04-08,100000.0,101974.49,0
2021-04-09,100000.0,102715.86,0
2021-04-12,100000.0,102753.3,0
2021-04-13,100000.0,103057.84,0
2021-04-14,100000.0,102705.87,0
2021-04-15,100000.0,103809.19,0
2021-04-16,100000.0,104156.16,0
2021-04-19,100000.0,103644.44,0
2021-04-20,100000.0,102885.6,0
2021-04-21,100000.0,103859.11,0
2021-04-22,100000.0,102910.56,0
2021-04-23,100000.0,104026.36,0
2021-04-26,100000.0,104243.53,0
2021-04-27,100000.0,104221.06,0
2021-04-28,100000.0,104191.11,0
2021-04-29,100000.0,104855.1,0
2021-04-30,100000.0,104166.15,0
2021-05-03,100000.0,104390.8,0
2021-05-04,100000.0,103746.79,0
2021-05-05,100000.0,103779.24,0
2021-05-06,100000.0,104607.97,0
2021-05-07,100000.0,105369.31,0
2021-05-10,100000.0,104325.9,0
2021-05-11,100000.0,103394.82,0
2021-05-12,100000.0,101198.17,0
2021-05-13,100000.0,102413.82,0
2021-05-14,100000.0,103986.42,0
2021-05-17,100000.0,103721.82,0
2021-05-18,100000.0,102828.19,0
2021-05-19,100000.0,102558.6,0
2021-05-20,100000.0,103661.92,0
2021-05-21,100000.0,103577.05,0
2021-05-24,100000.0,104632.93,0
2021-05-25,100000.0,104400.79,0
2021-05-26,100000.0,104607.97,0
2021-05-27,100000.0,104662.89,0
2021-05-28,100000.0,104850.1,0
2021-06-01,100000.0,104757.74,0
2021-06-02,100000.0,104922.49,0
2021-06-03,100000.0,104533.09,0
2021-06-04,100000.0,105489.13,0
2021-06-07,100000.0,105386.79,0
2021-06-08,100000.0,105409.25,0
2021-06-09,100000.0,105251.99,0
2021-06-10,100000.0,105741.24,0
2021-06-11,100000.0,105915.98,0
2021-06-14,99857.32,106153.12,30
2021-06-15,99933.36,105958.41,30
2021-06-16,99382.71,105366.82,30
2021-06-17,96985.25,105331.87,29
2021-06-18,94293.53,103572.05,29
2021-06-21,96502.29,105054.79,28
2021-06-22,96972.61,105616.43,24
2021-06-23,97117.38,105489.13,29
2021-06-24,98411.66,106113.18,29
2021-06-25,98226.44,106490.1,29
2021-06-28,96440.54,106704.78,29
2021-06-29,96163.7,106762.19,29
2021-06-30,97214.86,106852.05,29
2021-07-01,97914.39,107443.65,27
2021-07-02,97124.15,108264.9,28
2021-07-06,94991.54,108067.7,29
2021-07-07,93805.45,108449.61,26
2021-07-08,93146.57,107565.96,27
2021-07-09,95097.27,108714.21,28
2021-07-12,95825.06,109103.62,27
2021-07-13,94634.23,108731.68,27
2021-07-14,93779.76,108893.94,27
2021-07-15,92847.37,108522.0,24
2021-07-16,92130.31,107670.8,22
2021-07-19,91040.4,106080.73,22
2021-07-20,92528.23,107600.91,19
2021-07-21,93482.5,108472.08,19
2021-07-22,93609.94,108699.23,22
2021-07-23,94188.27,109817.53,22
2021-07-26,94824.18,110087.12,19
2021-07-27,93802.62,109585.38,15
2021-07-28,94328.17,109540.45,16
2021-07-29,94393.19,109994.76,13
2021-07-30,94054.22,109460.57,13
2021-08-02,94187.3,109230.92,16
2021-08-03,94124.98,110119.57,18
2021-08-04,93840.49,109577.89,15
2021-08-05,94590.44,110271.84,14
