trigger_idx,Symbol,Date_trigger,Close_trigger,bar_count,s_n,delta_s_n,F_n,B_k,M_k,D_k,Date_fwd20gates,Close_fwd20gates,n_calendar_days_to_fwd20gates,fwd_return_20gates,Date_fwd20cal,Close_fwd20cal,fwd_return_20cal,Date_fwd20bars,Close_fwd20bars,fwd_return_20bars
0,AAAU,2020-04-03,16.1801,2,0.9546099291948387,0.7135952069021567,1.3624625590174269,-0.05142008639456619,0.3037935145480124,1,2020-05-06,16.84,33,0.04078466758549085,2020-05-01,16.96,0.048201185406765185,2020-05-04,17.01,0.05129140116562952
1,NERD,2020-04-03,14.0852,2,0.965673074582161,0.7100435084310243,1.3849591687419291,-0.05347878836641494,0.3286054674592347,1,2020-05-04,16.1144,31,0.14406611194729216,2020-05-04,16.1144,0.14406611194729216,2020-05-04,16.1144,0.14406611194729216
2,NATR,2020-04-03,7.21,2,0.9562676844129462,0.7104879670477979,1.3855016599192427,-0.05667697637018333,0.3077751832717408,1,2020-05-04,8.2,31,0.13730929264909839,2020-05-04,8.2,0.13730929264909839,2020-05-04,8.2,0.13730929264909839
3,NACP,2020-04-03,18.5436,2,0.9574531494603049,0.7126879586881139,1.3773688764907406,-0.05420543603312875,0.3103088362223038,1,2020-05-06,21.2962,33,0.14843935373929534,2020-05-04,21.1537,0.14075476175068483,2020-05-06,21.2962,0.14843935373929534
4,MYGN,2020-04-03,12.24,2,0.9544285498526014,0.7120378319077375,1.4069232308550896,-0.06256316332155692,0.303357942528817,1,2020-05-04,15.25,31,0.24591503267973855,2020-05-04,15.25,0.24591503267973855,2020-05-04,15.25,0.24591503267973855
5,MWA,2020-04-03,7.62,2,0.9598263764035189,0.7167328248537628,1.3665085248037523,-0.050601760419920525,0.3153309392107665,1,2020-05-04,9.33,31,0.22440944881889763,2020-05-04,9.33,0.22440944881889763,2020-05-04,9.33,0.22440944881889763
6,MUX,2020-04-03,7.037,2,0.9573164834126869,0.7106228897155953,1.367545462851196,-0.0518468373031758,0.3102037262748294,1,2020-05-04,9.968,31,0.41651271848799204,2020-05-04,9.968,0.41651271848799204,2020-05-04,9.968,0.41651271848799204
7,MTRX,2020-04-03,8.48,2,0.9685387980103166,0.718440267452883,1.4211478684124605,-0.0615379072871067,0.3339065608562,1,2020-05-04,9.95,31,0.17334905660377345,2020-05-04,9.95,0.17334905660377345,2020-05-04,9.95,0.17334905660377345
8,MRTN,2020-04-03,12.9733,2,0.9650218264132928,0.7133919118939951,1.3651716851619045,-0.048605424947712646,0.3269904815515403,1,2020-05-04,15.66,31,0.2070945711576854,2020-05-04,15.66,0.2070945711576854,2020-05-04,15.66,0.2070945711576854
9,MPX,2020-04-03,7.84,2,0.9571970850580105,0.7164295845577031,1.3569064285535133,-0.04909368232856674,0.30948487681996556,1,2020-05-05,9.43,32,0.20280612244897958,2020-05-04,9.52,0.21428571428571425,2020-05-04,9.52,0.21428571428571425
