ticker,delta_bar,n_rows,classification
AAAU,0.19357222249387107,1346,calm
AACG,0.16465608199252182,363,calm
AAL,0.23737200303185366,1556,normal
AAOI,0.15774692251956496,1403,calm
ABCB,0.30653941715738553,1561,volatile
ABEQ,0.2626125991896319,1362,normal
ABM,0.24850287482425834,1561,normal
ABR,0.283795663934814,1490,volatile
ABT,0.2468532369299108,1562,normal
ABUS,0.1906580763936092,727,calm
ACAD,0.16388536289925995,1558,calm
ACB,0.13546609698431303,1425,calm
ACCO,0.2619962019051493,1027,normal
ACEL,0.2788955181489985,1431,volatile
ACGL,0.28664767209548686,1561,volatile
ACHV,0.2067051518414448,1294,calm
ACI,0.22446241102440811,1429,normal
ACIO,0.2632779187300098,1417,normal
ACIW,0.2627408875269787,1560,normal
ACNB,0.26220650369183246,1557,normal
ACRE,0.23490279313352813,1272,normal
ACSI,0.2557970401812826,1539,normal
ACTG,0.22697191894422214,715,normal
ACU,0.2878645454601005,1562,volatile
ACWI,0.2637845900792985,1562,normal
ACWX,0.24744193587524038,1559,normal
ADC,0.3119176505373217,1560,volatile
ADM,0.22475322488438715,1562,normal
ADME,0.2542860463289933,1521,normal
ADNT,0.2631511522475523,1561,normal
ADPT,0.18695984988687958,1523,calm
ADT,0.19058125166553794,1175,calm
ADTN,0.24398626906789764,1495,normal
AEE,0.33527849850739017,1561,volatile
AEG,0.22804172046413856,675,normal
AER,0.28194071312470065,1562,volatile
AES,0.23514245251636687,1497,normal
AESR,0.20429810493858774,1115,calm
AFK,0.2857871107262,1461,volatile
AFLG,0.2501648804223278,1414,normal
AFYA,0.26377722680698196,1547,normal
AGGY,0.2852973830405465,1183,volatile
AGNC,0.23302264794966526,1146,normal
AGNCO,0.25142679013394637,904,normal
AGRO,0.2273156257642074,1348,normal
AGYS,0.19102433028993834,1562,calm
AGZ,0.27099401987684574,1369,volatile
AGZD,0.19412145179915757,189,calm
AIA,0.2533220389654887,1562,normal
AIG,0.3073695071097519,1561,volatile
AIHS,0.11883597680388071,1377,calm
AIQ,0.19970977140461815,1554,calm
AIRG,0.17602519276527523,1286,calm
AIV,0.1649507191178203,1038,calm
AIZ,0.15718051937400995,1562,calm
AKAM,0.2080545968244254,1561,calm
ALCO,0.25216842890568325,1551,normal
ALEC,0.1784298568236356,1311,calm
